year,education_adult_literacy_eas
1976,65.9899978637695
1977,66.1999969482422
1978,67.2900009155273
1979,68.5199966430664
1980,69.6100006103516
1981,70.6399993896484
1982,71.6100006103516
1983,72.5299987792969
1984,73.5100021362305
1985,74.4300003051758
1986,75.2600021362305
1987,76.4100036621094
1988,80.1399993896484
1989,80.7600021362305
1990,81.3300018310547
1991,81.8399963378906
1992,82.3300018310547
1993,82.7699966430664
1994,83.3000030517578
1995,83.8399963378906
1996,84.3000030517578
1997,89.2699966430664
1998,89.629997253418
1999,89.9499969482422
2000,90.3099975585938
2001,90.629997253418
2002,90.9800033569336
2003,91.3499984741211
2004,91.6800003051758
2005,92.0199966430664
2006,92.370002746582
2007,93.5100021362305
2008,93.8199996948242
2009,94.0899963378906
2010,94.0800018310547
2011,94.3000030517578
2012,94.5400009155273
2013,94.620002746582
2014,95.0899963378906
2015,95.3000030517578
2016,95.5
2017,95.6900024414062
2018,95.7300033569336
2019,95.870002746582
2020,96.0899963378906
2021,96.2200012207031
2022,96.3600006103516
2023,96.4899978637695
2024,96.6100006103516
