year,education_adult_literacy_ecs
1994,95.8000030517578
1995,95.9499969482422
1996,96.129997253418
1997,96.2600021362305
1998,96.4199981689453
1999,96.5400009155273
2000,96.6399993896484
2002,96.9000015258789
2003,96.9899978637695
2004,97.0699996948242
2005,97.1900024414062
2006,97.25
2007,97.3300018310547
2008,97.4499969482422
2009,97.7099990844727
2010,97.870002746582
2011,98.0199966430664
2012,98.120002746582
2013,98.1800003051758
2014,98.2200012207031
2015,98.2699966430664
2016,98.3300018310547
2017,98.4100036621094
2018,98.5
2019,98.5699996948242
2020,98.6100006103516
2021,98.7399978637695
2022,98.75
2023,98.7699966430664
