year,education_adult_literacy_lcn
1974,78.129997253418
1975,78.1500015258789
1976,78.5500030517578
1977,78.9899978637695
1978,79.4499969482422
1979,79.8600006103516
1980,80.2300033569336
1981,80.6399993896484
1982,81.0299987792969
1983,81.4100036621094
1984,81.7799987792969
1985,82.129997253418
1986,82.4800033569336
1987,82.7799987792969
1988,83.2300033569336
1989,83.6500015258789
1990,83.9700012207031
1991,84.6500015258789
1992,85.3199996948242
1993,85.9800033569336
1994,86.620002746582
1995,87.2600021362305
1996,87.6500015258789
1997,87.9300003051758
1998,88.2900009155273
1999,88.620002746582
2000,88.9199981689453
2001,89.1100006103516
2002,89.4000015258789
2003,90.0999984741211
2004,90.379997253418
2005,90.3600006103516
2006,90.5699996948242
2007,91.4100036621094
2008,91.7099990844727
2009,91.9000015258789
2010,91.8199996948242
2011,92.5199966430664
2012,92.8300018310547
2013,92.8099975585938
2014,93.3099975585938
2015,93.4499969482422
2016,93.8899993896484
2017,93.9199981689453
2018,94.0999984741211
2019,94.2699966430664
2020,94.3300018310547
2021,94.5
2022,94.6800003051758
2023,94.8300018310547
2024,94.9499969482422
