year,education_adult_literacy_mea
1973,38.5900001525879
1974,38.8899993896484
1975,39.2400016784668
1976,39.5999984741211
1977,40.1500015258789
1978,40.7599983215332
1979,41.3800010681152
1980,42.0099983215332
1981,42.6199989318848
1982,43.4300003051758
1983,44.0499992370605
1984,44.8300018310547
1985,45.5999984741211
1986,46.3800010681152
1987,47.1699981689453
1988,48.060001373291
1989,48.9500007629395
1990,50.7099990844727
1991,51.5099983215332
1992,53.0699996948242
1993,54.4300003051758
1994,55.1199989318848
1995,56.2200012207031
1996,57.1300010681152
1997,58.0299987792969
1998,59
1999,59.939998626709
2000,60.8300018310547
2001,61.8800010681152
2002,62.8600006103516
2003,65.129997253418
2004,65.9700012207031
2005,66.6900024414062
2006,66.2699966430664
2007,67.0500030517578
2008,68.5899963378906
2009,69.5699996948242
2010,70.0400009155273
2011,70.2099990844727
2012,71.2600021362305
2013,71.5500030517578
2014,71.9300003051758
2015,72.75
2016,72.3499984741211
2017,72.7200012207031
2018,72.6600036621094
2019,72.9000015258789
2020,73.4499969482422
2021,73.9199981689453
2022,74.5199966430664
2023,75.0699996948242
2024,75.5899963378906
