year,education_adult_literacy_sas
1975,37.439998626709
1976,37.439998626709
1977,38.1300010681152
1978,38.810001373291
1979,39.4700012207031
1980,40.1199989318848
1981,40.7400016784668
1982,41.4099998474121
1983,42.0800018310547
1984,42.75
1985,43.4199981689453
1986,44.0900001525879
1987,44.7700004577637
1988,45.4799995422363
1989,46.2700004577637
1990,47.0499992370605
1991,47.7799987792969
1992,48.560001373291
1993,49.3499984741211
1994,50.1500015258789
1995,50.9500007629395
1996,51.7799987792969
1997,52.5999984741211
1998,57.9199981689453
1999,58.7299995422363
2000,59.5200004577637
2001,60.310001373291
2002,61.1300010681152
2003,61.939998626709
2004,62.7400016784668
2005,62.439998626709
2006,62.5299987792969
2007,63.3800010681152
2008,64.2099990844727
2009,65.0400009155273
2010,67.9400024414062
2011,68.6999969482422
2012,68.5299987792969
2013,69.8399963378906
2014,70.5599975585938
2015,71.9599990844727
2016,73.3499984741211
2017,74.0199966430664
2018,74.7399978637695
2019,74.5100021362305
2020,75.2399978637695
2021,76.0599975585938
2022,76.9000015258789
2023,77.5699996948242
2024,78.2300033569336
