year,education_adult_literacy_ssf
1985,49.6599998474121
1986,49.9900016784668
1987,50.6300010681152
1988,51.1399993896484
1989,51.6800003051758
1990,52.3199996948242
1991,52.6699981689453
1992,53.1399993896484
1993,53.7200012207031
1994,54.3400001525879
1995,54.7400016784668
1996,55.3699989318848
1997,56.1599998474121
1998,56.8300018310547
1999,57.7000007629395
2000,56.5699996948242
2001,57.3400001525879
2002,58.0499992370605
2003,58.5800018310547
2004,59.2599983215332
2005,58.939998626709
2006,58.0299987792969
2007,57.8300018310547
2008,58.1699981689453
2009,58.6500015258789
2010,59.3199996948242
2011,61.0099983215332
2012,62.2400016784668
2013,63.1199989318848
2014,63.6699981689453
2015,64.2600021362305
2016,64.8899993896484
2017,65.25
2018,67.129997253418
2019,67.7300033569336
2020,67.8899993896484
2021,67.8399963378906
2022,68.1500015258789
2023,68.4400024414062
2024,68.6900024414062
