year,education_adult_literacy_wld
1975,65.4199981689453
1976,65.5699996948242
1977,65.879997253418
1978,66.5
1979,67.1500015258789
1980,67.75
1981,68.3499984741211
1982,68.9300003051758
1983,69.4899978637695
1984,70.1500015258789
1985,70.7300033569336
1986,71.2699966430664
1987,71.9400024414062
1988,73.5500030517578
1989,74.0699996948242
1990,74.629997253418
1991,75.0599975585938
1992,75.5100021362305
1993,75.9700012207031
1994,76.4199981689453
1995,76.870002746582
1996,77.3000030517578
1997,79.3000030517578
1998,80.5199966430664
1999,80.9000015258789
2000,81.120002746582
2001,81.370002746582
2002,81.7399978637695
2003,82.2200012207031
2004,82.5599975585938
2005,82.5699996948242
2006,82.5299987792969
2007,83.120002746582
2008,83.4800033569336
2009,83.8000030517578
2010,84.370002746582
2011,84.7099990844727
2012,84.9100036621094
2013,85.2099990844727
2014,85.5599975585938
2015,85.9599990844727
2016,86.2799987792969
2017,86.4700012207031
2018,86.7600021362305
2019,86.7900009155273
2020,86.9800033569336
2021,87.1699981689453
2022,87.3899993896484
2023,87.5800018310547
2024,87.7399978637695
