year,air_pollution_nh3_world
1900,8751050
1901,8870673
1902,8991887
1903,9114398
1904,9235052
1905,9357696
1906,9488813
1907,9629084
1908,9758046
1909,9892092
1910,10029163
1911,10153083
1912,10276985
1913,10405650
1914,10523340
1915,10642840
1916,10769293
1917,10895722
1918,11021716
1919,11139473
1920,11283130
1921,11399985
1922,11551359
1923,11730295
1924,11853774
1925,12273633
1926,12592350
1927,12821604
1928,12993985
1929,13148276
1930,13178368
1931,13278742
1932,13305828
1933,13361761
1934,13396015
1935,13438498
1936,13650580
1937,13844188
1938,13966693
1939,14093552
1940,14203456
1941,14319136
1942,14357295
1943,14464157
1944,14613382
1945,14720915
1946,14967444
1947,15233420
1948,15551761
1949,15933656
1950,16374562
1951,16997230
1952,17547886
1953,18108716
1954,18568520
1955,18971964
1956,19398258
1957,19879656
1958,20484012
1959,21099650
1960,21537678
1961,21996932
1962,22774618
1963,23675474
1964,24194094
1965,25596692
1966,27379408
1967,28801942
1968,30303830
1969,31121304
1970,33820900
1971,34603136
1972,35256620
1973,35979532
1974,36631140
1975,37569804
1976,38243844
1977,38979720
1978,39903056
1979,40788588
1980,41448570
1981,41941984
1982,42304744
1983,42950696
1984,43779384
1985,44354452
1986,45114260
1987,45766492
1988,46289436
1989,47032520
1990,47227250
1991,47290532
1992,47432920
1993,47685976
1994,48083390
1995,48298932
1996,48775780
1997,49253416
1998,49742330
1999,50129292
2000,50585396
2001,50686124
2002,51131772
2003,51763444
2004,52623812
2005,53432108
2006,54446530
2007,55686696
2008,55986532
2009,56151356
2010,57054172
2011,57966384
2012,58832116
2013,59389748
2014,59722868
2015,60085684
2016,61054676
2017,61386068
2018,62020970
2019,62540644
2020,62931108
2021,63475344
2022,64004630
