year,air_pollution_nox_world
1900,4537606.5
1901,4769748
1902,4993614.5
1903,5406815.5
1904,5649372.5
1905,6002995.5
1906,6386468
1907,7144262
1908,7173796
1909,7485132.5
1910,7904070.5
1911,8177763
1912,8552281
1913,9259477
1914,8942155
1915,9180729
1916,10012153
1917,10594735
1918,10792956
1919,10480092
1920,11995759
1921,11590100
1922,12551065
1923,13830682
1924,14134198
1925,14785374
1926,15187997
1927,16509557
1928,16918074
1929,18293954
1930,17156450
1931,16102010
1932,15107467
1933,15857937
1934,16780390
1935,17795180
1936,19294232
1937,20868804
1938,19888062
1939,21067350
1940,22905692
1941,23693016
1942,23670222
1943,24863680
1944,26098272
1945,24791088
1946,25730970
1947,27827504
1948,29767198
1949,28883208
1950,31540872
1951,33406636
1952,34582164
1953,35798430
1954,36733616
1955,40032920
1956,42328588
1957,43725044
1958,44499856
1959,46269050
1960,49129108
1961,50744584
1962,52814070
1963,55988910
1964,59543544
1965,62419676
1966,64767884
1967,68044770
1968,72959860
1969,75124040
1970,80182880
1971,82780340
1972,86449790
1973,91486290
1974,90390120
1975,89880410
1976,93961840
1977,96783896
1978,99147870
1979,101656240
1980,100580060
1981,98605340
1982,96245330
1983,96134936
1984,98691630
1985,100142420
1986,102530770
1987,106120110
1988,109845510
1989,112365170
1990,112989820
1991,113508136
1992,113892470
1993,114889580
1994,114800024
1995,116372136
1996,117457910
1997,118230090
1998,117673250
1999,116325576
2000,118712640
2001,118295380
2002,118512860
2003,121921500
2004,126374130
2005,129247760
2006,132362140
2007,135931500
2008,136163920
2009,128155320
2010,127496340
2011,132310000
2012,131314110
2013,129140320
2014,126719810
2015,125125180
2016,123683480
2017,123489610
2018,122251030
2019,119787080
2020,109981600
2021,113420810
2022,113397130
