year,air_pollution_so2_chn
1900,57356.47
1901,58886.254
1902,62205.254
1903,98317.18
1904,101958.266
1905,107119.17
1906,376503.47
1907,371337.5
1908,476109.97
1909,441701.22
1910,404363.38
1911,536994.44
1912,231659.95
1913,238066.98
1914,288203.62
1915,288270
1916,319659.8
1917,352249.84
1918,376585.3
1919,429033.12
1920,473469.6
1921,453566.78
1922,472663.5
1923,548696.8
1924,589086.25
1925,563969.9
1926,518929.03
1927,565364.7
1928,564172.7
1929,579248.6
1930,601830
1931,626769.94
1932,604440.25
1933,646105.5
1934,729338.56
1935,824319.2
1936,907434.4
1937,852854.94
1938,794284.56
1939,927343.94
1940,1139771.5
1941,1365620.4
1942,1414892.5
1943,1231794.6
1944,1231073
1945,719287
1946,521110.28
1947,549590.3
1948,448325.4
1949,832951.2
1950,1044140.9
1951,1280779.5
1952,1531651.8
1953,1568753.2
1954,1821507
1955,2082349.9
1956,2315710.8
1957,2724676.2
1958,5377792.5
1959,7131166.5
1960,7659577.5
1961,5548323
1962,4486673
1963,4410747.5
1964,4361235
1965,4642407.5
1966,4997202
1967,4228027.5
1968,4498431
1969,5336584
1970,6864576
1971,7552523
1972,7925916.5
1973,8085168
1974,8053544
1975,9354705
1976,9449687
1977,10871277
1978,12052938
1979,12302604
1980,11667600
1981,11755982
1982,12292300
1983,12903291
1984,14079048
1985,14532775
1986,15215934
1987,16234171
1988,17354670
1989,17503316
1990,17720734
1991,18157064
1992,18769698
1993,19810218
1994,20695586
1995,22363832
1996,21883608
1997,21651726
1998,21352168
1999,20393326
2000,20988480
2001,21860396
2002,23235868
2003,27025604
2004,31871966
2005,37032770
2006,38106840
2007,37677076
2008,35589424
2009,33376766
2010,30737120
2011,31924896
2012,31197390
2013,28252182
2014,23278252
2015,19735922
2016,16246622
2017,13366981
2018,12396312
2019,11481979
2020,10415895
2021,10327900
2022,10382385
