year,air_pollution_so2_world
1900,22831070
1901,23797100
1902,24550576
1903,26667442
1904,27150964
1905,28887782
1906,30750544
1907,33951120
1908,32614764
1909,34229348
1910,35792280
1911,36266748
1912,37570744
1913,39339576
1914,35831520
1915,35751390
1916,39019812
1917,40654456
1918,40111076
1919,34120736
1920,38111260
1921,32529940
1922,34264936
1923,37583244
1924,37816010
1925,38171710
1926,39171580
1927,41619172
1928,41755800
1929,44708188
1930,41223170
1931,36504970
1932,32253812
1933,34183372
1934,37778172
1935,40940504
1936,43932190
1937,47483184
1938,44310444
1939,47281996
1940,52443910
1941,54377844
1942,55494320
1943,56618770
1944,55191856
1945,47722824
1946,47084804
1947,52578500
1948,55133904
1949,52350400
1950,56139096
1951,59797260
1952,61524484
1953,62540800
1954,64217520
1955,70005580
1956,74860640
1957,77293120
1958,79369420
1959,83217970
1960,88251790
1961,89437370
1962,92294140
1963,95480120
1964,100435920
1965,103309176
1966,106137010
1967,106799080
1968,111810640
1969,116486210
1970,124129576
1971,124511130
1972,127945190
1973,134238240
1974,132411544
1975,130736456
1976,136609250
1977,137497970
1978,138320690
1979,141003710
1980,140288030
1981,135794850
1982,132663144
1983,130619850
1984,131849490
1985,132363220
1986,131558060
1987,134189920
1988,135298300
1989,134940140
1990,135486910
1991,132928720
1992,128397480
1993,126380070
1994,123285240
1995,120811630
1996,117479736
1997,117210260
1998,113979830
1999,108479176
2000,107800536
2001,108487280
2002,107364650
2003,111728190
2004,117096240
2005,122964610
2006,123619220
2007,122383120
2008,118846410
2009,109399976
2010,105690750
2011,109038296
2012,105987690
2013,101403170
2014,96665200
2015,91236510
2016,87832776
2017,84854620
2018,83258840
2019,81435150
2020,69563336
2021,72359976
2022,73466960
