year,violence_battle_deaths_world
1946,296386
1947,404784
1948,475588
1949,446646
1950,550676
1951,396167
1952,149073
1953,98934
1954,69519
1955,31164
1956,40580
1957,32188
1958,48037
1959,52460
1960,64873
1961,77804
1962,55938
1963,69801
1964,63348
1965,98568
1966,96786
1967,126717
1968,233327
1969,198673
1970,208784
1971,258085
1972,299083
1973,222940
1974,261646
1975,135684
1976,106722
1977,45550
1978,102573
1979,157289
1980,125492
1981,197263
1982,234509
1983,228286
1984,249266
1985,228466
1986,235400
1987,194655
1988,152503
1989,55667
1990,80297
1991,70355
1992,53410
1993,44954
1994,38523
1995,36755
1996,28903
1997,40389
1998,40238
1999,81462
2000,78674
2001,23623
2002,21157
2003,23265
2004,19716
2005,12437
2006,20287
2007,19381
2008,28867
2009,36006
2010,21652
2011,25636
2012,74155
2013,93495
2014,116005
2015,104479
2016,90764
2017,72137
2018,55166
2019,52676
2020,73139
2021,199816
2022,284981
2023,138917
2024,155038
2025,153643
