year,demography_births_proj_world
2024,132405930
2025,132399176
2026,132503470
2027,132590970
2028,132761180
2029,132988660
2030,133256400
2031,133513400
2032,133764790
2033,134065210
2034,134381010
2035,134669250
2036,134945600
2037,135141000
2038,135355310
2039,135515310
2040,135669000
2041,135672670
2042,135635920
2043,135580930
2044,135406660
2045,135108930
2046,134763860
2047,134270880
2048,133752120
2049,133163336
2050,132555180
2051,131922870
2052,131280340
2053,130666630
2054,130019576
2055,129484560
2056,128994830
2057,128530510
2058,128109976
2059,127754770
2060,127431150
2061,127116970
2062,126876440
2063,126634990
2064,126429590
2065,126218350
2066,126019440
2067,125793030
2068,125546776
2069,125259600
2070,124986376
2071,124696340
2072,124348330
2073,123982000
2074,123572750
2075,123139810
2076,122692720
2077,122209340
2078,121660490
2079,121106664
2080,120554860
2081,119954950
2082,119411970
2083,118804110
2084,118220260
2085,117622290
2086,117028430
2087,116442240
2088,115886480
2089,115345020
2090,114804560
2091,114283304
2092,113772580
2093,113262380
2094,112772536
2095,112282190
2096,111830664
2097,111397100
2098,110941160
2099,110500810
2100,110028470
