year,demography_births_world
1950,91823940
1951,92507130
1952,97371460
1953,97291460
1954,100187860
1955,101747970
1956,101759016
1957,106017736
1958,104644160
1959,101999840
1960,102378080
1961,100950940
1962,112038710
1963,119802890
1964,117292200
1965,117837010
1966,117232950
1967,116920264
1968,121825890
1969,122227970
1970,124135900
1971,123739680
1972,123554020
1973,123563930
1974,122709410
1975,121030100
1976,121322350
1977,120786520
1978,122140650
1979,125000296
1980,127446984
1981,129715840
1982,133206504
1983,131967710
1984,134365260
1985,136373950
1986,139301170
1987,141346560
1988,140985950
1989,142249020
1990,143461420
1991,138306860
1992,136591250
1993,135632140
1994,135142910
1995,134850050
1996,134321020
1997,133985670
1998,133857530
1999,134058670
2000,135758480
2001,135380000
2002,135396480
2003,135700800
2004,136596320
2005,137166460
2006,138469300
2007,139935790
2008,141758720
2009,142968320
2010,143354240
2011,143878780
2012,146054880
2013,145014780
2014,145268260
2015,144333950
2016,144854100
2017,143601810
2018,140332740
2019,138596780
2020,134719620
2021,133448840
2022,132475390
2023,132110264
