year,health_child_mortality_world
1800,42.8
1801,42.7
1802,42.7
1803,42.6
1804,42.6
1805,42.6
1806,42.6
1807,42.5
1808,42.5
1809,42.5
1810,42.5
1811,42.4
1812,42.4
1813,42.3
1814,42.3
1815,42.2
1816,42.2
1817,42.2
1818,42.2
1819,42.2
1820,42.1
1821,42.1
1822,42.1
1823,42.1
1824,42.1
1825,42.1
1826,42.1
1827,42.1
1828,42.1
1829,42.1
1830,42.2
1831,42.2
1832,42.2
1833,42.2
1834,42.3
1835,42.2
1836,42.2
1837,42.2
1838,42.2
1839,42.1
1840,42.1
1841,42.1
1842,42.2
1843,42.1
1844,42.1
1845,42
1846,42.4
1847,42.2
1848,42.3
1849,42.3
1850,42
1851,42.4
1852,42.9
1853,43.2
1854,43.7
1855,44
1856,44.2
1857,44.2
1858,43.8
1859,43.7
1860,42.9
1861,42.9
1862,42.6
1863,42.5
1864,42.2
1865,42.3
1866,42.1
1867,42
1868,42.4
1869,42.1
1870,41.9
1871,42.2
1872,42.1
1873,41.8
1874,41.7
1875,41.5
1876,41.4
1877,41.2
1878,41.6
1879,41.1
1880,41.6
1881,41.1
1882,41.5
1883,41.4
1884,41.1
1885,41.2
1886,41.1
1887,41.1
1888,41
1889,41.2
1890,41.5
1891,41.3
1892,41.7
1893,41.2
1894,41.2
1895,41.3
1896,41.1
1897,41
1898,41.2
1899,40.8
1900,40.9
1901,40.8
1902,40.1
1903,39.5
1904,38.9
1905,38.8
1906,38.1
1907,37.4
1908,37.2
1909,36.6
1910,36.4
1911,36
1912,35.5
1913,35.1
1914,35.4
1915,35.3
1916,35.1
1917,35.3
1918,37.6
1919,35.7
1920,34.4
1921,34.2
1922,33.2
1923,33.1
1924,33.1
1925,32.4
1926,32.7
1927,31.9
1928,31.9
1929,32
1930,31.6
1931,31.4
1932,30.7
1933,30.5
1934,30.7
1935,29.5
1936,29.1
1937,28.8
1938,28.7
1939,28
1940,27.9
1941,27.8
1942,27.9
1943,27.7
1944,27.4
1945,26.7
1946,25.8
1947,25.5
1948,24.9
1949,24.9
1950,24.7
1951,24.3
1952,23.9
1953,23.3
1954,22.8
1955,22.3
1956,21.3
1957,20.5
1958,19.7
1959,19.9
1960,20.2
1961,18.8
1962,17
1963,16.2
1964,15.7
1965,15.1
1966,15.1
1967,15.3
1968,15
1969,14.6
1970,14.2
1971,13.9
1972,13.7
1973,13.5
1974,13.3
1975,13.1
1976,12.8
1977,12.6
1978,12.3
1979,11.9
1980,11.85
1981,11.5
1982,11.18
1983,11.09
1984,10.89
1985,10.62
1986,10.31
1987,9.94
1988,9.87
1989,9.55
1990,9.36
1991,9.33
1992,9.27
1993,9.08
1994,8.96
1995,8.78
1996,8.6
1997,8.4
1998,8.23
1999,7.93
2000,7.67
2001,7.41
2002,7.15
2003,6.86
2004,6.62
2005,6.33
2006,6.06
2007,5.8
2008,5.58
2009,5.4
2010,5.17
2011,5.06
2012,4.78
2013,4.61
2014,4.49
2015,4.37
2016,4.24
2017,4.13
2018,4.02
2019,3.95
2020,3.87
2021,3.82
2022,3.82
2023,3.67
