year,air_pollution_clean_cooking_eas
2000,40.9591307624726
2001,42.055712712202
2002,43.1408229438317
2003,44.3117526515662
2004,45.7177976905377
2005,47.2715659109721
2006,48.9078918160483
2007,50.892033004086
2008,52.8615551501755
2009,55.0015778854628
2010,57.457049059057
2011,59.8871002149955
2012,62.5357303539811
2013,65.2330700808929
2014,68.0788185931607
2015,70.5809942604462
2016,73.0430431028612
2017,75.523172177934
2018,77.8183135320775
2019,79.7718190041413
2020,81.7442101916121
2021,83.3660114813536
2022,84.8268678976187
2023,86.205219816791
