year,air_pollution_clean_cooking_ecs
2000,95.3960037460603
2001,95.6321494038445
2002,95.8650521577571
2003,96.0673914300689
2004,96.270216723274
2005,96.4660957363461
2006,96.6279800431251
2007,96.7856590143101
2008,96.9289084780956
2009,97.0332796821624
2010,97.1621804311578
2011,97.2571693494436
2012,97.3335924753934
2013,97.4117318285191
2014,97.4794369712531
2015,97.5305786695354
2016,97.5471890079039
2017,97.5986226882698
2018,97.608840942813
2019,97.6207110840802
2020,97.6307515638654
2021,97.6097133151123
2022,97.6024998094723
2023,97.5905438280326
