year,air_pollution_clean_cooking_mea
2000,62.6594010318437
2001,64.2333545487115
2002,65.521988699734
2003,66.5805699282754
2004,67.7157093040052
2005,68.7053156996309
2006,69.5430583494283
2007,70.4006477735109
2008,71.1644816425019
2009,71.7336531606532
2010,72.2247666884129
2011,72.680299560102
2012,73.2864771170311
2013,73.8205516999457
2014,74.2465013826845
2015,74.8548951582627
2016,75.4430603172851
2017,75.8061271457959
2018,76.2667761033233
2019,76.7406469048732
2020,77.1511351924818
2021,77.5462596875773
2022,78.0405170756645
2023,78.617471658088
