year,air_pollution_clean_cooking_sas
2000,20.6214165645212
2001,21.6461575228923
2002,22.6667020836102
2003,23.8776355504079
2004,24.9146507408273
2005,25.8629623691407
2006,26.8371577241679
2007,28.1345902872613
2008,29.2820199482298
2009,30.8686638104964
2010,32.2305554202237
2011,34.0536415832734
2012,36.2481085810133
2013,39.0901270999806
2014,41.3563103084917
2015,44.6552505915235
2016,47.7852760570284
2017,50.9932969202059
2018,54.3997607304664
2019,57.7624633701574
2020,61.253259249948
2021,64.6274277793323
2022,67.5580327508597
2023,70.5783520488242
