year,air_pollution_clean_cooking_ssf
2000,8.77672225610676
2001,9.05328026171268
2002,9.34046847629111
2003,9.64097612882848
2004,9.94759988815126
2005,10.2604937496415
2006,10.5853331349365
2007,10.9579693929835
2008,11.3563377699721
2009,11.730801652049
2010,12.1401340454783
2011,12.587901123864
2012,13.0742788947517
2013,13.5832686273296
2014,14.2093179418386
2015,14.9172432601717
2016,15.7000199184262
2017,16.5879074721228
2018,17.6023274833175
2019,18.7348388997508
2020,19.8295773531226
2021,20.8972425001111
2022,21.9077839844353
2023,22.7531963369271
