year,climate_co2_emissions_africa
1850,0
1851,0
1852,0
1853,0
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,0
1861,0
1862,0
1863,0
1864,0
1865,0
1866,0
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,0
1881,0
1882,0
1883,0
1884,21984
1885,36640
1886,47632
1887,47632
1888,80608
1889,131904
1890,296784
1891,296784
1892,479984
1893,1799024
1894,2432896
1895,3337904
1896,4257568
1897,4777856
1898,6049264
1899,5517984
1900,2330304
1901,3909488
1902,5825760
1903,7895920
1904,8910848
1905,10262864
1906,11717472
1907,12930256
1908,13402912
1909,15385136
1910,17411328
1911,16865392
1912,17953600
1913,19606064
1914,19551104
1915,19606064
1916,23255408
1917,25343888
1918,24724672
1919,25442816
1920,28051584
1921,27985632
1922,23969888
1923,29044528
1924,30631038
1925,32184578
1926,34437936
1927,33840704
1928,34770316
1929,35801620
1930,33695670
1931,29463714
1932,26622752
1933,28491130
1934,32539280
1935,35909540
1936,39015956
1937,41844264
1938,44013164
1939,46852930
1940,49649188
1941,54023460
1942,58822890
1943,60119628
1944,66632910
1945,67527180
1946,68159360
1947,67934744
1948,71733140
1949,77323530
1950,94750750
1951,101051990
1952,110273920
1953,111985020
1954,117517816
1955,129395120
1956,135095310
1957,141585740
1958,148670930
1959,147841250
1960,156570820
1961,161994350
1962,166334960
1963,176334930
1964,193639330
1965,213634380
1966,221082180
1967,237045180
1968,257267820
1969,277716580
1970,302409570
1971,331582370
1972,351615070
1973,377703870
1974,388046270
1975,386832580
1976,419684800
1977,432652320
1978,462045800
1979,498671360
1980,535707100
1981,548503360
1982,571418800
1983,594285440
1984,648845300
1985,665456000
1986,689131000
1987,689023360
1988,723885800
1989,696660400
1990,655802050
1991,684241540
1992,663705400
1993,704578700
1994,788750850
1995,842285500
1996,870773600
1997,892631940
1998,911147900
1999,897504260
2000,927848770
2001,917310900
2002,896945300
2003,988099900
2004,1043496960
2005,1055701760
2006,1084842000
2007,1113880800
2008,1166188400
2009,1160884700
2010,1216269800
2011,1264895100
2012,1263504800
2013,1280556000
2014,1360808000
2015,1335934700
2016,1367217500
2017,1377306600
2018,1391176000
2019,1456068500
2020,1369237900
2021,1475342100
2022,1459102800
2023,1481803400
2024,1502087400
