year,climate_co2_emissions_asia
1850,14658.506
1851,0
1852,0
1853,0
1854,0
1855,44448.37
1856,0
1857,0
1858,456898.16
1859,702673.75
1860,730582.1
1861,608366.25
1862,650530.1
1863,714928.06
1864,694545.5
1865,679399.2
1866,995375.9
1867,408073.88
1868,350501.9
1869,478880.78
1870,518127.75
1871,700412.06
1872,725708.56
1873,690479.6
1874,1375435
1875,2348306.2
1876,2531071.2
1877,2440657
1878,5128678.5
1879,5543401.5
1880,6045929
1881,6160904
1882,6718451.5
1883,7438481.5
1884,8008064
1885,8336614.5
1886,8970533
1887,10283691
1888,11441597
1889,13370935
1890,14710551
1891,16789984
1892,17853366
1893,19976072
1894,22343730
1895,25916500
1896,27572486
1897,30155644
1898,35946320
1899,37955616
1900,42940064
1901,49387890
1902,51332132
1903,53830788
1904,60511644
1905,61445532
1906,68669470
1907,95284250
1908,104229870
1909,107213176
1910,108858790
1911,115358630
1912,117481600
1913,134425180
1914,139994530
1915,134178136
1916,147336910
1917,158764030
1918,162955870
1919,178288800
1920,168576940
1921,163687570
1922,171026580
1923,186142700
1924,197304240
1925,198857500
1926,200720160
1927,216645600
1928,227270300
1929,237369180
1930,234979250
1931,226343300
1932,224162910
1933,245781710
1934,277166720
1935,301474980
1936,324695870
1937,339699520
1938,348404830
1939,366582100
1940,426109700
1941,442224700
1942,399845400
1943,387581100
1944,372736220
1945,241813680
1946,202671250
1947,246147040
1948,275079870
1949,340624540
1950,368443400
1951,428334720
1952,480660930
1953,512755200
1954,559029060
1955,624251600
1956,689798500
1957,781574140
1958,1070588860
1959,1302717400
1960,1448027300
1961,1298687200
1962,1232942500
1963,1299194000
1964,1362267000
1965,1476741100
1966,1597787400
1967,1619313400
1968,1779166500
1969,2020828200
1970,2412295700
1971,2618930400
1972,2768660500
1973,2923350500
1974,2967919900
1975,3143782000
1976,3296270000
1977,3514515500
1978,3694782700
1979,3836061200
1980,3845441000
1981,3821236700
1982,3953197000
1983,4103815200
1984,4349275000
1985,4590286000
1986,4772830000
1987,4992786000
1988,5404823000
1989,5574634000
1990,5761380000
1991,6004440600
1992,6223938600
1993,6465919000
1994,6758348300
1995,7118254600
1996,7440219600
1997,7581172000
1998,7294443500
1999,7695168500
2000,7927166000
2001,8079179300
2002,8583848400
2003,9491552000
2004,10037267000
2005,10828093000
2006,11564241000
2007,12281686000
2008,12864320000
2009,13317202000
2010,14362530000
2011,15542228000
2012,16061427000
2013,16345718000
2014,16580382000
2015,16605201000
2016,16688726000
2017,17182280000
2018,17777240000
2019,18223220000
2020,18046271000
2021,18740865000
2022,19455877000
2023,20111112000
2024,20432226000
