year,climate_co2_emissions_europe
1850,176775220
1851,173859020
1852,180432720
1853,186703470
1854,221565870
1855,221538050
1856,236781500
1857,238329630
1858,241521680
1859,254665300
1860,281813340
1861,300479780
1862,305041340
1863,321231500
1864,346628580
1865,371215550
1866,383594940
1867,401825860
1868,406195940
1869,425362180
1870,431416200
1871,459750800
1872,496541380
1873,522506720
1874,484555230
1875,534647520
1876,547138560
1877,545946560
1878,551763500
1879,569586300
1880,640741440
1881,657774200
1882,680198850
1883,718767000
1884,714144640
1885,716659840
1886,715986900
1887,743286700
1888,787506560
1889,824558900
1890,862573760
1891,893012350
1892,879321600
1893,854880400
1894,927918100
1895,952627700
1896,996165200
1897,1045666300
1898,1079168100
1899,1149517800
1900,1205761500
1901,1195232800
1902,1196093400
1903,1245173900
1904,1268442600
1905,1305698300
1906,1347435300
1907,1492849900
1908,1517263900
1909,1518876900
1910,1538655000
1911,1574153700
1912,1632547300
1913,1767424900
1914,1573981000
1915,1492878300
1916,1561198500
1917,1533435500
1918,1394121300
1919,1183818800
1920,1383445000
1921,1265554600
1922,1409319800
1923,1346923800
1924,1553839500
1925,1538195300
1926,1323210400
1927,1684910700
1928,1693740900
1929,1837967700
1930,1741164500
1931,1625608700
1932,1511837800
1933,1557659400
1934,1704667300
1935,1789411000
1936,1899830300
1937,2060766700
1938,2070434200
1939,2116642000
1940,2253947000
1941,2174063400
1942,2021260400
1943,2039171000
1944,1937932700
1945,1269833000
1946,1686021000
1947,1932562300
1948,2085037800
1949,2266351900
1950,2381798400
1951,2628854500
1952,2712866600
1953,2790577400
1954,2969349600
1955,3233243600
1956,3445158700
1957,3593346300
1958,3632002000
1959,3713709800
1960,3966934300
1961,4112140000
1962,4339414000
1963,4612307500
1964,4842246700
1965,4984466400
1966,5156101000
1967,5270223000
1968,5515944000
1969,5816407000
1970,6098689500
1971,6327588400
1972,6556553000
1973,6849511000
1974,6867690500
1975,6907077600
1976,7281985500
1977,7338524700
1978,7570690600
1979,7750150700
1980,7753727000
1981,7471875000
1982,7411571700
1983,7417897500
1984,7468784000
1985,7792995300
1986,7805502500
1987,7826896400
1988,7865633000
1989,7831148500
1990,8038894600
1991,7739830000
1992,7094296000
1993,6806441500
1994,6445869000
1995,6422432300
1996,6472014000
1997,6266619000
1998,6240622600
1999,6156683000
2000,6155515000
2001,6282925000
2002,6249447000
2003,6391066600
2004,6419376000
2005,6427948500
2006,6529226000
2007,6473231400
2008,6407231500
2009,5893126700
2010,6117359000
2011,6044340700
2012,5998598000
2013,5840099000
2014,5609139700
2015,5613445600
2016,5598046700
2017,5632420000
2018,5613847600
2019,5437201400
2020,5025676000
2021,5265446400
2022,5095634400
2023,4887137300
2024,4880514000
