year,climate_co2_emissions_north_america
1850,19851552
1851,24702688
1852,26875440
1853,30264640
1854,33283774
1855,38310784
1856,40224030
1857,41278620
1858,41927976
1859,45643100
1860,47823904
1861,46148796
1862,48042160
1863,55534836
1864,59505828
1865,59860810
1866,60509510
1867,74475150
1868,83308980
1869,94384560
1870,99854456
1871,104814040
1872,128177300
1873,141148620
1874,135954200
1875,137660820
1876,134715500
1877,149244850
1878,145899760
1879,177732960
1880,204177010
1881,216049680
1882,242360160
1883,261744560
1884,276592670
1885,280814720
1886,296722460
1887,318258660
1888,387958600
1889,347713280
1890,415281500
1891,443153060
1892,466687300
1893,471033500
1894,441481150
1895,495711200
1896,497968480
1897,518309200
1898,564652700
1899,649252900
1900,688264100
1901,751236800
1902,796870140
1903,930296600
1904,923678140
1905,1031534660
1906,1083807200
1907,1262628500
1908,1112048800
1909,1224223100
1910,1337515500
1911,1337188400
1912,1429164200
1913,1543740300
1914,1406258700
1915,1452344700
1916,1622104400
1917,1792049700
1918,1876026600
1919,1604884500
1920,1909210400
1921,1604381400
1922,1601727100
1923,2075335800
1924,1858004000
1925,1890938900
1926,2035938200
1927,1987698000
1928,1949198000
1929,2085018600
1930,1859983100
1931,1577757000
1932,1344346900
1933,1435989600
1934,1535216900
1935,1592779300
1936,1821787600
1937,1911223600
1938,1625769500
1939,1788750500
1940,2006985300
1941,2186447400
1942,2348458800
1943,2429318700
1944,2605576200
1945,2512841500
1946,2421539000
1947,2658754300
1948,2771574500
1949,2338843100
1950,2726240300
1951,2816396300
1952,2747976000
1953,2810439700
1954,2688835600
1955,2937892400
1956,3092100000
1957,3068066300
1958,2983538400
1959,3074944300
1960,3153336600
1961,3146443000
1962,3264929800
1963,3404053200
1964,3576447000
1965,3727009000
1966,3911769000
1967,4077572600
1968,4238654500
1969,4444891000
1970,4795305000
1971,4844499000
1972,5086731000
1973,5303661600
1974,5153396000
1975,4975888000
1976,5204466000
1977,5350387700
1978,5535344000
1979,5591233500
1980,5441307000
1981,5257410000
1982,5030694000
1983,5032541700
1984,5181712400
1985,5204827600
1986,5196443600
1987,5428988400
1988,5659478500
1989,5746918000
1990,5907240000
1991,5856732000
1992,5975305700
1993,6081933000
1994,6192430000
1995,6248651300
1996,6451079000
1997,6558293500
1998,6647728000
1999,6730827000
2000,6981995000
2001,6870700000
2002,6923014000
2003,7024311000
2004,7127101000
2005,7161424000
2006,7086870000
2007,7185791500
2008,6967132700
2009,6488163300
2010,6680689700
2011,6585878000
2012,6395342000
2013,6538066000
2014,6580936000
2015,6411546600
2016,6278471700
2017,6227086300
2018,6405330000
2019,6283747000
2020,5643710500
2021,6005028400
2022,6057500000
2023,5922801700
2024,5899121700
