year,climate_co2_emissions_oceania
1850,112052.45
1851,106378.71
1852,106054.586
1853,152320.9
1854,183526.48
1855,215677.69
1856,298886.25
1857,331100.38
1858,340482.7
1859,484947.53
1860,599769.2
1861,560575.4
1862,787635.1
1863,720450.25
1864,903160.1
1865,973507.56
1866,1280059.6
1867,1239852.4
1868,1532259.4
1869,1464684.2
1870,1402391.1
1871,1440909.9
1872,1636610
1873,1930549.4
1874,2125629.5
1875,2142735.5
1876,2158161.5
1877,2372097.2
1878,2917051.8
1879,3083507
1880,3073338.5
1881,3641576.8
1882,4277829.5
1883,5073743
1884,5590824
1885,5999834
1886,6009109
1887,6261250.5
1888,6972248
1889,7562008
1890,6872482.5
1891,8375925
1892,7961785
1893,7315646.5
1894,8130214.5
1895,8373957
1896,8936921
1897,9782685
1898,10536443
1899,10873019
1900,12607824
1901,14179680
1902,14436160
1903,14393768
1904,14977158
1905,15591856
1906,18219918
1907,19572344
1908,20943384
1909,18845026
1910,22609452
1911,24136106
1912,26073292
1913,27014900
1914,30004424
1915,27201164
1916,24891624
1917,25951116
1918,27907986
1919,26314662
1920,29863852
1921,27284434
1922,28483052
1923,29520590
1924,32180744
1925,33720956
1926,33859450
1927,35764830
1928,33733316
1929,31800362
1930,30764512
1931,26789996
1932,26589730
1933,28327570
1934,30191492
1935,33108736
1936,35690020
1937,38137220
1938,37942420
1939,42445464
1940,40105136
1941,44335188
1942,47122844
1943,46564210
1944,46496404
1945,44779230
1946,48271880
1947,50227836
1948,52515012
1949,53672836
1950,64556376
1951,69646480
1952,72375000
1953,72139784
1954,77691120
1955,82295380
1956,86589840
1957,87109180
1958,89120250
1959,94252060
1960,100115550
1961,99979920
1962,103096184
1963,109291920
1964,118450264
1965,129174780
1966,131938380
1967,138175220
1968,144930340
1969,153161900
1970,165592940
1971,169903840
1972,172835940
1973,192342780
1974,189269310
1975,195423660
1976,192758380
1977,206082580
1978,212263970
1979,212263650
1980,225662290
1981,233959570
1982,239423280
1983,228676060
1984,239737120
1985,249758380
1986,250300540
1987,262009120
1988,269571140
1989,285907970
1990,307288030
1991,309402300
1992,316410100
1993,320673380
1994,325815780
1995,337407600
1996,345800480
1997,355829760
1998,368198080
1999,379966400
2000,387095940
2001,396927200
2002,402234620
2003,412847580
2004,423765920
2005,428443550
2006,434703200
2007,441525300
2008,447580500
2009,447567650
2010,446845020
2011,445078240
2012,447875260
2013,440472400
2014,436568420
2015,445059740
2016,453034980
2017,458536700
2018,460322850
2019,461342750
2020,441575520
2021,431222080
2022,425053730
2023,424819360
2024,428551200
