year,climate_co2_emissions_south_america
1850,94125.59
1851,110447.98
1852,180874.83
1853,116529.13
1854,5388.645
1855,150900
1856,556692.4
1857,880975.5
1858,962941.4
1859,758667.8
1860,1033001.44
1861,950494.4
1862,877143.6
1863,962479.7
1864,1182041.9
1865,1383060.8
1866,1886320.8
1867,2003560.2
1868,2330020.8
1869,2088178.1
1870,2135152.5
1871,2261620
1872,3012619.2
1873,3308866.5
1874,3742494.8
1875,3243613
1876,3202209.2
1877,2987232.8
1878,2919186
1879,3020111
1880,3453198
1881,3751238.2
1882,3832121.8
1883,4075049.2
1884,4632899.5
1885,4829543
1886,4530319.5
1887,5250248.5
1888,6387091
1889,7538222
1890,6329836
1891,6584004
1892,6727750.5
1893,6725704.5
1894,8401483
1895,8548266
1896,9217043
1897,8561701
1898,9186859
1899,9629431
1900,8932586
1901,9644026
1902,10289648
1903,10492845
1904,10929525
1905,12766502
1906,15509021
1907,17710128
1908,18709606
1909,18441104
1910,20672666
1911,23954296
1912,24730870
1913,25967704
1914,21570992
1915,15675079
1916,14646846
1917,13086434
1918,11650201
1919,13630743
1920,16127817
1921,15376954
1922,17538404
1923,19904310
1924,24937518
1925,26465470
1926,27506204
1927,30158942
1928,31606906
1929,34773390
1930,29601944
1931,27014918
1932,30424378
1933,34371650
1934,38439310
1935,41464588
1936,40896870
1937,51129504
1938,47639420
1939,46572064
1940,50912532
1941,51506230
1942,48387430
1943,49034136
1944,54083316
1945,54755708
1946,57635230
1947,62898950
1948,70073040
1949,71232510
1950,113413520
1951,131276936
1952,141468590
1953,140632350
1954,151041440
1955,170065740
1956,184167710
1957,192906670
1958,178736500
1959,196974200
1960,199140540
1961,201758850
1962,215627570
1963,219375540
1964,230142290
1965,240086060
1966,251980850
1967,267317520
1968,287591260
1969,311218700
1970,337804860
1971,346519460
1972,362536600
1973,392645570
1974,416508580
1975,411638300
1976,419311460
1977,434795700
1978,462104900
1979,494344740
1980,508381280
1981,489757760
1982,490925340
1983,485902660
1984,491551170
1985,501907460
1986,529881500
1987,557404000
1988,580437800
1989,579902140
1990,598367400
1991,606069000
1992,617997500
1993,652739200
1994,655626000
1995,689657540
1996,719898600
1997,766825300
1998,791080640
1999,812940100
2000,812034600
2001,791451100
2002,819742700
2003,820543900
2004,857033500
2005,881900740
2006,909777860
2007,944882940
2008,988742600
2009,961341600
2010,1072125250
2011,1088221400
2012,1142113800
2013,1205617700
2014,1221043200
2015,1186978400
2016,1142483600
2017,1125791900
2018,1082037000
2019,1094835500
2020,983969500
2021,1110534700
2022,1100027800
2023,1107388300
2024,1109841200
