year,climate_co2_intensity_africa
1913,0.5035299
1950,0.30799243
1951,0.31385356
1952,0.33005506
1953,0.32340384
1954,0.3239167
1955,0.34506202
1956,0.34708777
1957,0.35033745
1958,0.36003435
1959,0.34006634
1960,0.3447918
1961,0.34922534
1962,0.34584895
1963,0.34155878
1964,0.35562953
1965,0.37262103
1966,0.37544513
1967,0.39491218
1968,0.4098399
1969,0.40974626
1970,0.4108434
1971,0.43019313
1972,0.43742868
1973,0.45145628
1974,0.44000342
1975,0.43582916
1976,0.4443316
1977,0.44117275
1978,0.45873314
1979,0.47133398
1980,0.4843304
1981,0.4908918
1982,0.4964989
1983,0.51280934
1984,0.5464549
1985,0.54033
1986,0.5477643
1987,0.5405759
1988,0.544048
1989,0.50784504
1990,0.47091243
1991,0.47700357
1992,0.4548662
1993,0.47084874
1994,0.5051822
1995,0.5144332
1996,0.494987
1997,0.48157254
1998,0.46632588
1999,0.43778855
2000,0.42759442
2001,0.39628065
2002,0.3624367
2003,0.37337148
2004,0.36639196
2005,0.34366074
2006,0.32696566
2007,0.30894816
2008,0.2991747
2009,0.2809788
2010,0.2713882
2011,0.27336314
2012,0.25838578
2013,0.25271663
2014,0.25806725
2015,0.24518315
2016,0.24627613
2017,0.24018836
2018,0.23449527
2019,0.23822907
2020,0.2294609
2021,0.2342551
2022,0.22399777
