year,climate_co2_intensity_asia
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0.0000065327736
1831,0.000012758471
1832,0.0001177117
1833,0.00014104179
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,0
1841,0
1842,0
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0.000022852322
1851,0
1852,0
1853,0
1854,0
1855,0.0024481514
1856,0
1857,0
1858,0.022253584
1859,0.03379062
1860,0.03460342
1861,0.0025232343
1862,0.0320272
1863,0.034660265
1864,0.03367884
1865,0.038754582
1866,0.054497667
1867,0.027524358
1868,0.023279304
1869,0.033169687
1870,0.00095518504
1871,0.029417709
1872,0.031053608
1873,0.029937558
1874,0.018644858
1875,0.083719246
1876,0.08651429
1877,0.08709326
1878,0.1601973
1879,0.16448012
1880,0.14836027
1881,0.14279139
1882,0.15672466
1883,0.1749636
1884,0.029209087
1885,0.023982724
1886,0.025757547
1887,0.01480088
1888,0.031838164
1889,0.037801687
1890,0.01992744
1891,0.04837985
1892,0.04795851
1893,0.052464698
1894,0.056573797
1895,0.066210255
1896,0.074894905
1897,0.07259039
1898,0.08366112
1899,0.093658626
1900,0.053867485
1901,0.11196449
1902,0.11308629
1903,0.114039294
1904,0.12807563
1905,0.13222215
1906,0.13830958
1907,0.20042077
1908,0.21568532
1909,0.20402718
1910,0.20414995
1911,0.12262224
1912,0.21210246
1913,0.12404362
1914,0.24448018
1915,0.23312694
1916,0.23596431
1917,0.2585099
1918,0.28256336
1919,0.28132254
1920,0.2859214
1921,0.2559333
1922,0.26637775
1923,0.29071182
1924,0.29766735
1925,0.29351398
1926,0.2819247
1927,0.30923295
1928,0.31292427
1929,0.19347252
1930,0.19601293
1931,0.18614866
1932,0.18465395
1933,0.20684637
1934,0.23107162
1935,0.2433376
1936,0.24498226
1937,0.26033014
1938,0.25918084
1939,0.4096738
1940,0.44735968
1941,0.46490902
1942,0.5025532
1943,0.4964349
1944,0.51406795
1945,0.4351794
1946,0.44484574
1947,0.5784499
1948,0.5534472
1949,0.4727389
1950,0.2518034
1951,0.25948456
1952,0.2664886
1953,0.261591
1954,0.28402936
1955,0.30604035
1956,0.31863728
1957,0.34580824
1958,0.4513947
1959,0.52815735
1960,0.5675189
1961,0.5115699
1962,0.465153
1963,0.4565767
1964,0.44185582
1965,0.45928463
1966,0.47330427
1967,0.45467767
1968,0.4718487
1969,0.48808452
1970,0.5246556
1971,0.5452509
1972,0.5474111
1973,0.5061979
1974,0.5387845
1975,0.53884995
1976,0.5496787
1977,0.55376434
1978,0.54421407
1979,0.5429085
1980,0.49322477
1981,0.47274214
1982,0.46732137
1983,0.4634228
1984,0.46401584
1985,0.4689781
1986,0.4700698
1987,0.46335164
1988,0.4715838
1989,0.46986404
1990,0.46163106
1991,0.49939498
1992,0.46720096
1993,0.463777
1994,0.46413246
1995,0.45790505
1996,0.44974706
1997,0.44083574
1998,0.42720515
1999,0.4370432
2000,0.43062568
2001,0.4237677
2002,0.42548957
2003,0.4429346
2004,0.43813786
2005,0.4397417
2006,0.43648425
2007,0.42906553
2008,0.43269768
2009,0.43289006
2010,0.4294599
2011,0.43633
2012,0.42948443
2013,0.4127884
2014,0.3975207
2015,0.37991962
2016,0.3623776
2017,0.35480928
2018,0.3476719
2019,0.34367248
2020,0.34436488
2021,0.33555233
2022,0.33310366
