year,climate_co2_intensity_europe
1820,0.16536383
1821,0.18694268
1822,0.19377269
1823,0.19800729
1824,0.19465551
1825,0.20590211
1826,0.20689432
1827,0.2176268
1828,0.22041318
1829,0.21470787
1830,0.27811262
1831,0.26351187
1832,0.2495174
1833,0.24612428
1834,0.2597577
1835,0.2729158
1836,0.2967395
1837,0.29074675
1838,0.28461897
1839,0.29545677
1840,0.30077612
1841,0.31359282
1842,0.3347735
1843,0.33445308
1844,0.3415633
1845,0.36503685
1846,0.35807732
1847,0.3800525
1848,0.38035345
1849,0.3957436
1850,0.39461946
1851,0.40796277
1852,0.41067603
1853,0.42472735
1854,0.48744336
1855,0.48336878
1856,0.5021669
1857,0.4910696
1858,0.49233517
1859,0.51860535
1860,0.53752124
1861,0.58949316
1862,0.5924535
1863,0.5917621
1864,0.628952
1865,0.6604249
1866,0.6767139
1867,0.7153134
1868,0.6941665
1869,0.7124746
1870,0.6348492
1871,0.742788
1872,0.7760301
1873,0.80816567
1874,0.71698815
1875,0.7759959
1876,0.80253065
1877,0.7854133
1878,0.7853226
1879,0.82578075
1880,0.89275897
1881,0.8905485
1882,0.8969797
1883,0.92716235
1884,0.9147652
1885,0.91378605
1886,0.8996934
1887,0.9083452
1888,0.9372385
1889,0.957175
1890,0.90327877
1891,1.0147921
1892,0.98443633
1893,0.9414376
1894,0.98487717
1895,0.9900081
1896,1.0036327
1897,1.038081
1898,1.0292677
1899,1.0594759
1900,1.0045532
1901,1.0894073
1902,1.0724156
1903,1.0969657
1904,1.0963901
1905,1.1026198
1906,1.1014786
1907,1.1840783
1908,1.2055576
1909,1.1770796
1910,1.0748693
1911,1.1558363
1912,1.161135
1913,1.1138556
1914,1.1620741
1915,1.1067754
1916,1.1233494
1917,1.1471578
1918,1.0920655
1919,0.98444146
1920,1.0111154
1921,0.98562366
1922,1.0032418
1923,0.96301633
1924,1.0062988
1925,0.94299537
1926,0.8023138
1927,0.9739523
1928,0.9421179
1929,0.9414537
1930,0.90829414
1931,0.8904106
1932,0.85398597
1933,0.8531469
1934,0.9006036
1935,0.9133915
1936,0.94312465
1937,0.9692426
1938,0.9432801
1939,0.9569297
1940,1.0370083
1941,0.992997
1942,0.9331972
1943,0.96128726
1944,0.9510732
1945,0.7162352
1946,0.9873753
1947,1.0595213
1948,0.99954623
1949,1.010135
1950,0.8719703
1951,0.9082717
1952,0.88785195
1953,0.86619425
1954,0.8709705
1955,0.89081615
1956,0.9057175
1957,0.89948696
1958,0.87914133
1959,0.85577655
1960,0.86032605
1961,0.8437942
1962,0.848002
1963,0.86004245
1964,0.8515771
1965,0.8394288
1966,0.8306426
1967,0.8166576
1968,0.81149966
1969,0.8147337
1970,0.8051379
1971,0.80435675
1972,0.7986158
1973,0.7379205
1974,0.7685681
1975,0.7668051
1976,0.77712125
1977,0.7607048
1978,0.7623047
1979,0.7572578
1980,0.7010131
1981,0.67279506
1982,0.661114
1983,0.6493129
1984,0.6402295
1985,0.65177846
1986,0.6351166
1987,0.62315345
1988,0.606383
1989,0.5874536
1990,0.60536057
1991,0.5820639
1992,0.54050994
1993,0.5242996
1994,0.49166796
1995,0.47779456
1996,0.4714583
1997,0.44104853
1998,0.426451
1999,0.40460765
2000,0.38394433
2001,0.37859
2002,0.36649182
2003,0.36342376
2004,0.34960732
2005,0.33747435
2006,0.32603246
2007,0.30761695
2008,0.29730535
2009,0.28484064
2010,0.2858607
2011,0.2739548
2012,0.27093673
2013,0.26246405
2014,0.24833138
2015,0.24554011
2016,0.24067721
2017,0.23563305
2018,0.22971134
2019,0.21856806
2020,0.21391077
2021,0.21250008
2022,0.2018689
