year,climate_co2_intensity_north_america
1820,0.022751542
1821,0.029743116
1822,0.029279813
1823,0.029940616
1824,0.031848963
1825,0.03389403
1826,0.037892967
1827,0.040423036
1828,0.043338772
1829,0.049195778
1830,0.049692456
1831,0.051477887
1832,0.06431545
1833,0.07043115
1834,0.06888897
1835,0.08238086
1836,0.08660559
1837,0.097695716
1838,0.091130555
1839,0.09297246
1840,0.09627133
1841,0.10587401
1842,0.11504101
1843,0.123047285
1844,0.13555436
1845,0.15592887
1846,0.17105392
1847,0.19208764
1848,0.20287544
1849,0.22011492
1850,0.19776133
1851,0.26789212
1852,0.2682238
1853,0.27272677
1854,0.29105052
1855,0.33225176
1856,0.3350377
1857,0.34122145
1858,0.33522314
1859,0.34556025
1860,0.32526907
1861,0.33065662
1862,0.32631356
1863,0.3437757
1864,0.34939924
1865,0.36179703
1866,0.36028308
1867,0.41920167
1868,0.4520175
1869,0.48832494
1870,0.4705682
1871,0.4954639
1872,0.5831709
1873,0.6099004
1874,0.5904328
1875,0.5702286
1876,0.55319124
1877,0.59268594
1878,0.55844647
1879,0.6059189
1880,0.6236602
1881,0.6347047
1882,0.66957587
1883,0.70633084
1884,0.7312275
1885,0.7390261
1886,0.7584283
1887,0.7788689
1888,0.950772
1889,0.80451006
1890,0.90672666
1891,0.9672551
1892,0.93221617
1893,0.98686385
1894,0.9498602
1895,0.9167799
1896,0.9378643
1897,0.8915709
1898,0.9492941
1899,1.0062008
1900,1.0368503
1901,1.0203017
1902,1.0666357
1903,1.1857132
1904,1.1896157
1905,1.2338369
1906,1.1677065
1907,1.3347903
1908,1.2726226
1909,1.261747
1910,1.367984
1911,1.3340728
1912,1.3707658
1913,1.4338931
1914,1.418811
1915,1.4322789
1916,1.4189277
1917,1.6069676
1918,1.5667815
1919,1.3394092
1920,1.6023545
1921,1.388028
1922,1.3174895
1923,1.5270524
1924,1.3364626
1925,1.3288366
1926,1.3532089
1927,1.312218
1928,1.2749703
1929,1.2981285
1930,1.2736188
1931,1.1585228
1932,1.1560965
1933,1.2729732
1934,1.2573866
1935,1.1645511
1936,1.2154174
1937,1.1874325
1938,1.0666738
1939,1.0993513
1940,1.1378161
1941,1.0888411
1942,1.0527539
1943,1.0014361
1944,1.0047988
1945,0.9852687
1946,1.0306358
1947,1.1421541
1948,1.1405218
1949,0.977326
1950,1.0394332
1951,1.0014896
1952,0.9381641
1953,0.9196311
1954,0.8843683
1955,0.9000472
1956,0.92331827
1957,0.89651585
1958,0.876814
1959,0.8453495
1960,0.8414438
1961,0.8194136
1962,0.8032804
1963,0.7990425
1964,0.7917297
1965,0.7754577
1966,0.7634481
1967,0.77454436
1968,0.7671771
1969,0.777977
1970,0.8333453
1971,0.8148968
1972,0.8111893
1973,0.7994073
1974,0.772806
1975,0.7442524
1976,0.7417764
1977,0.7299015
1978,0.71307856
1979,0.6938634
1980,0.669561
1981,0.6274332
1982,0.61236155
1983,0.5916814
1984,0.57127386
1985,0.55353737
1986,0.536029
1987,0.54172945
1988,0.54278386
1989,0.53328085
1990,0.53752464
1991,0.5329383
1992,0.52557915
1993,0.5207655
1994,0.5092735
1995,0.5036742
1996,0.5008904
1997,0.48643583
1998,0.47156942
1999,0.45610344
2000,0.45332673
2001,0.44172576
2002,0.43673792
2003,0.43154863
2004,0.4212541
2005,0.4096055
2006,0.39386454
2007,0.39110315
2008,0.37879145
2009,0.36340708
2010,0.36350554
2011,0.35119745
2012,0.3332678
2013,0.33413106
2014,0.3283781
2015,0.31223375
2016,0.30044845
2017,0.291012
2018,0.29080677
2019,0.28007585
2020,0.26059088
2021,0.26217493
2022,0.2586782
