year,climate_co2_intensity_south_america
1844,0.017025344
1845,0.024432782
1846,0.029655391
1847,0.035255488
1848,0.03802557
1849,0.064498164
1850,0.00563576
1851,0.055331122
1852,0.08835964
1853,0.0576463
1854,0.002578211
1855,0.06912189
1856,0.25055552
1857,0.38089934
1858,0.39579982
1859,0.2978202
1860,0.39163458
1861,0.35772866
1862,0.32933304
1863,0.34618694
1864,0.4006121
1865,0.4498374
1866,0.58998203
1867,0.64796144
1868,0.7211703
1869,0.58974195
1870,0.0703401
1871,0.121295735
1872,0.15231322
1873,0.16293274
1874,0.17933586
1875,0.15481308
1876,0.15232602
1877,0.14297314
1878,0.13076799
1879,0.13065813
1880,0.1454045
1881,0.15426037
1882,0.14952588
1883,0.15548484
1884,0.16609402
1885,0.17953743
1886,0.15955964
1887,0.18759108
1888,0.22722025
1889,0.26043084
1890,0.12388959
1891,0.1991717
1892,0.21858512
1893,0.22822107
1894,0.28108975
1895,0.2495158
1896,0.25485954
1897,0.23520452
1898,0.24056917
1899,0.25627112
1900,0.13260601
1901,0.13666567
1902,0.14409298
1903,0.13953023
1904,0.13715771
1905,0.15273887
1906,0.17447437
1907,0.19432282
1908,0.19487104
1909,0.18372464
1910,0.19502942
1911,0.21798997
1912,0.21240373
1913,0.21915625
1914,0.19486645
1915,0.13957469
1916,0.12648126
1917,0.112199776
1918,0.09387659
1919,0.10581557
1920,0.1182293
1921,0.111852854
1922,0.11885927
1923,0.12358646
1924,0.1468822
1925,0.15401432
1926,0.15349466
1927,0.1587761
1928,0.15171464
1929,0.16124877
1930,0.14388286
1931,0.14072376
1932,0.16351421
1933,0.1722292
1934,0.17767407
1935,0.18080528
1936,0.17071748
1937,0.20280446
1938,0.1831042
1939,0.17163824
1940,0.18400778
1941,0.17902456
1942,0.17008571
1943,0.16495389
1944,0.16960825
1945,0.16712084
1946,0.16067371
1947,0.16841032
1948,0.172786
1949,0.16981755
1950,0.25825807
1951,0.28385797
1952,0.29740933
1953,0.28053474
1954,0.2859812
1955,0.30119383
1956,0.31461564
1957,0.30915144
1958,0.27090624
1959,0.2913295
1960,0.27335232
1961,0.2592752
1962,0.2654162
1963,0.26556906
1964,0.26209274
1965,0.26045543
1966,0.26110458
1967,0.2673249
1968,0.27133244
1969,0.2740022
1970,0.27642122
1971,0.26454937
1972,0.25976875
1973,0.25897825
1974,0.25761884
1975,0.24699123
1976,0.23644032
1977,0.23310252
1978,0.24045594
1979,0.24286301
1980,0.23687786
1981,0.23337395
1982,0.23573247
1983,0.2390636
1984,0.23318626
1985,0.23056589
1986,0.22751528
1987,0.2307165
1988,0.23823117
1989,0.23797183
1990,0.24799451
1991,0.23946045
1992,0.23449579
1993,0.23699023
1994,0.22504564
1995,0.22705455
1996,0.22883469
1997,0.23088676
1998,0.23357742
1999,0.24190466
2000,0.2327931
2001,0.22342668
2002,0.23019287
2003,0.22433467
2004,0.21710464
2005,0.21098115
2006,0.20448047
2007,0.19758293
2008,0.19564186
2009,0.19100514
2010,0.19796945
2011,0.19013536
2012,0.19459042
2013,0.19892536
2014,0.20058903
2015,0.1976091
2016,0.19554001
2017,0.19165322
2018,0.1837097
2019,0.18659967
2020,0.17919123
2021,0.18866506
2022,0.17997454
