year,violence_conflict_death_rate_world
1400,0.78941286
1401,0.8316626
1402,1.2447714
1403,0.5820345
1404,0.16947204
1405,0.37304828
1406,1.3801023
1407,3.5952048
1408,1.492372
1409,1.9622763
1410,1.8913995
1411,1.7260942
1412,1.546117
1413,1.6630418
1414,1.7787647
1415,2.3235435
1416,2.21538
1417,2.1684594
1418,2.1686413
1419,3.2786732
1420,2.5125775
1421,2.4951656
1422,2.49184
1423,2.343054
1424,2.360943
1425,1.0830932
1426,1.32605
1427,1.303374
1428,2.0407252
1429,1.6763706
1430,1.7158347
1431,0.95661044
1432,0.9137869
1433,1.1270584
1434,1.8234262
1435,1.5208734
1436,0.6436895
1437,0.64844024
1438,0.65103066
1439,0.67849755
1440,0.739313
1441,0.72465897
1442,2.1119664
1443,2.0947168
1444,2.3051262
1445,1.8902876
1446,1.4924635
1447,1.439587
1448,1.4513019
1449,7.5891514
1450,7.592934
1451,0.6851568
1452,0.6707787
1453,0.64295477
1454,1.8918934
1455,0.577644
1456,0.583623
1457,0.4185584
1458,0.37281138
1459,2.6569576
1460,2.4798687
1461,2.8937893
1462,1.5655464
1463,0.6183966
1464,0.6043206
1465,2.8028445
1466,1.7856023
1467,1.4008987
1468,1.5438279
1469,1.1283946
1470,1.1401765
1471,1.5320613
1472,1.5955483
1473,1.1379615
1474,1.6605017
1475,3.6672425
1476,3.5233214
1477,2.1765265
1478,1.7451447
1479,0.538451
1480,1.5294592
1481,1.295312
1482,1.5610279
1483,1.6228068
1484,0.8042244
1485,0.8392586
1486,0.39495954
1487,0.36984563
1488,0.595222
1489,2.1121442
1490,2.2034955
1491,0.66757447
1492,0.6631489
1493,0.27816334
1494,0.56445724
1495,2.6673193
1496,0.88057315
1497,1.231508
1498,0.82585466
1499,0.5278205
1500,5.9321527
1501,5.8964076
1502,6.47954
1503,5.7812924
1504,1.0077903
1505,0.32704312
1506,1.603832
1507,0.7965464
1508,2.5819426
1509,1.3916314
1510,1.6671369
1511,1.3887146
1512,4.3641114
1513,4.0989842
1514,4.8949494
1515,4.499787
1516,4.650759
1517,1.0935414
1518,1.0349112
1519,7.426337
1520,7.138951
1521,9.745708
1522,14.068652
1523,4.17763
1524,19.531464
1525,31.567764
1526,19.155863
1527,12.343479
1528,3.881974
1529,2.5674496
1530,2.639715
1531,2.1553633
1532,3.1368275
1533,3.8995152
1534,2.0802047
1535,2.156047
1536,8.7366705
1537,10.855635
1538,4.5898128
1539,0.33277276
1540,0.44436684
1541,22.22351
1542,26.985815
1543,6.094227
1544,6.891057
1545,0.889727
1546,1.7230377
1547,2.9452937
1548,2.19755
1549,1.649888
1550,2.6741142
1551,4.4349723
1552,4.6844993
1553,4.454203
1554,4.9796195
1555,4.801267
1556,1.7596447
1557,3.5829651
1558,3.1892648
1559,3.4392478
1560,2.1820476
1561,2.66877
1562,4.2222323
1563,3.5859468
1564,2.2233393
1565,2.4493513
1566,6.9561462
1567,3.0433493
1568,3.0897899
1569,2.1537027
1570,3.87144
1571,10.476589
1572,8.762499
1573,8.95885
1574,4.851357
1575,1.3419876
1576,1.7062646
1577,2.441504
1578,6.4095674
1579,2.7747972
1580,6.1970625
1581,2.2749786
1582,2.65692
1583,1.1772411
1584,0.6917774
1585,1.1828477
1586,1.9471995
1587,3.0543456
1588,3.8197563
1589,4.1584783
1590,4.19272
1591,3.6588504
1592,3.5228977
1593,4.768699
1594,6.2825594
1595,6.266976
1596,5.710396
1597,4.97007
1598,5.355347
1599,4.495453
1600,5.136939
1601,4.7663956
1602,4.602293
1603,4.4220977
1604,4.851296
1605,4.302136
1606,4.301611
1607,3.0697143
1608,2.4549513
1609,2.469722
1610,1.4938365
1611,1.5099576
1612,1.1511337
1613,1.1616256
1614,2.3819165
1615,2.6212752
1616,1.7394547
1617,2.6751149
1618,59.60212
1619,67.69249
1620,59.13579
1621,62.03614
1622,61.140095
1623,51.4949
1624,51.664314
1625,82.857735
