year,climate_consumption_co2_pc_africa
1990,1.0119611
1991,1.009962
1992,0.9808672
1993,1.003402
1994,1.0825293
1995,1.1135281
1996,1.1117148
1997,1.121545
1998,1.1422052
1999,1.0402368
2000,0.8823919
2001,0.87554455
2002,0.8459058
2003,0.914093
2004,0.94079524
2005,0.9393087
2006,0.97239697
2007,0.98692083
2008,1.009349
2009,1.036723
2010,1.0540423
2011,1.0931371
2012,1.0832386
2013,1.1177293
2014,1.1581961
2015,1.1289389
2016,1.1239121
2017,1.069152
2018,1.0584848
2019,1.0714246
2020,1.0016879
2021,1.0484749
2022,1.0028852
2023,0.98603
