year,climate_consumption_co2_pc_asia
1990,2.0146234
1991,2.0347245
1992,2.1632085
1993,2.1890092
1994,2.1966698
1995,2.276571
1996,2.3166285
1997,2.304052
1998,2.1508706
1999,2.271264
2000,2.322488
2001,2.3180003
2002,2.4012072
2003,2.558687
2004,2.6672738
2005,2.7916584
2006,2.9232285
2007,3.0716639
2008,3.2003696
2009,3.3209457
2010,3.5178826
2011,3.7648385
2012,3.9036684
2013,3.898687
2014,3.9283023
2015,3.944482
2016,3.9062612
2017,3.9848664
2018,4.1089272
2019,4.186913
2020,4.0839405
2021,4.1997247
2022,4.281161
2023,4.402792
