year,climate_consumption_co2_pc_europe
1990,10.685311
1991,10.471076
1992,9.012255
1993,8.93355
1994,8.719653
1995,8.710161
1996,8.904927
1997,8.587965
1998,8.547721
1999,8.489186
2000,8.617033
2001,8.8303995
2002,8.793188
2003,9.193856
2004,9.309644
2005,9.470782
2006,9.673784
2007,9.809668
2008,9.735788
2009,8.842221
2010,9.196092
2011,9.005847
2012,8.786035
2013,8.558342
2014,8.2055435
2015,7.967614
2016,8.071351
2017,8.0759
2018,8.057174
2019,7.836174
2020,7.2598405
2021,7.698385
2022,7.690016
2023,7.4831667
