year,climate_consumption_co2_pc_north_america
1990,13.992308
1991,13.655298
1992,14.019625
1993,13.896943
1994,13.970585
1995,13.875554
1996,14.105777
1997,14.287326
1998,14.629359
1999,14.698901
2000,15.283893
2001,14.947163
2002,15.066116
2003,15.245375
2004,15.364387
2005,15.490738
2006,15.247764
2007,14.931087
2008,14.159952
2009,13.031546
2010,13.298991
2011,12.918681
2012,12.461107
2013,12.518716
2014,12.540004
2015,12.256342
2016,11.849077
2017,11.703953
2018,11.904942
2019,11.606329
2020,10.5247555
2021,11.236958
2022,11.340977
2023,11.042253
