year,climate_consumption_co2_pc_south_america
1990,1.9888792
1991,2.0126212
1992,2.0507927
1993,2.0999076
1994,2.0778124
1995,2.169362
1996,2.2072449
1997,2.3529015
1998,2.4135137
1999,2.2281396
2000,2.1759737
2001,2.1162577
2002,1.943746
2003,2.051179
2004,2.1196685
2005,2.1974633
2006,2.292123
2007,2.4512439
2008,2.6744134
2009,2.4988005
2010,2.8009055
2011,2.9143627
2012,3.026877
2013,3.1824365
2014,3.2655416
2015,3.0095842
2016,2.7410963
2017,2.730989
2018,2.4894297
2019,2.5457323
2020,2.3431392
2021,2.5892773
2022,2.5786834
2023,2.6024122
