year,climate_consumption_co2_pc_world
1990,4.2667007
1991,4.282473
1992,4.090168
1993,4.06862
1994,4.047994
1995,4.0835443
1996,4.1481075
1997,4.1149697
1998,4.0445223
1999,4.0791173
2000,4.133621
2001,4.1076345
2002,4.1442804
2003,4.30703
2004,4.3992558
2005,4.493561
2006,4.585831
2007,4.6615086
2008,4.682571
2009,4.5455174
2010,4.744937
2011,4.848876
2012,4.854014
2013,4.8377423
2014,4.8045974
2015,4.739116
2016,4.6824865
2017,4.7052584
2018,4.752195
2019,4.7478137
2020,4.4577436
2021,4.634748
2022,4.6784525
2023,4.707772
2024,4.729075
