year,economy_convergence_mld_all_world
1990,0.7690375089381666
1991,0.7553604379539792
1992,0.7279574379863974
1993,0.7016298149449334
1994,0.6843245292907816
1995,0.6649534559995032
1996,0.6480264425625138
1997,0.6425237893570152
1998,0.6365779253332087
1999,0.6276531694531345
2000,0.6270550615230943
2001,0.6122861409026168
2002,0.5978244072911826
2003,0.582093320318256
2004,0.567387286138319
2005,0.5504461688523662
2006,0.5341928040742656
2007,0.5161509983540019
2008,0.5010576699594341
2009,0.46500716428488503
2010,0.45329582146645725
2011,0.4447763260004654
2012,0.4338593585705187
2013,0.4222090110452153
2014,0.41122268606831847
2015,0.40208152368508493
2016,0.39235201927376845
2017,0.3874570077138924
2018,0.3827496275183953
2019,0.38085419869441883
2020,0.3831212123508421
2021,0.38962829016218586
2022,0.38701246486329327
2023,0.3825555732047806
2024,0.3797609020150553
