year,economy_convergence_mld_ex_giants_world
1990,0.5393250581916778
1991,0.5439346795570439
1992,0.5476902730406213
1993,0.5482270893362471
1994,0.5583017466518687
1995,0.5587877210188621
1996,0.5570037205879507
1997,0.5625702487349624
1998,0.5759418932225537
1999,0.5839420923903359
2000,0.5904763889510551
2001,0.5866762322396417
2002,0.5813286557643434
2003,0.580375530028035
2004,0.574100047741504
2005,0.569146752996961
2006,0.5647396198723503
2007,0.5584848757114447
2008,0.5477915809994844
2009,0.5263192555750998
2010,0.5230731843217823
2011,0.5197943711716584
2012,0.5131303449518543
2013,0.5062470327051813
2014,0.5013014157573998
2015,0.49965399803305105
2016,0.49691285039582006
2017,0.49704094645745683
2018,0.49665211662630376
2019,0.49676524453774423
2020,0.4964430553809398
2021,0.5123236005204855
2022,0.5142205742512965
2023,0.5162175851885388
2024,0.5160243936719856
