year,economy_convergence_sigma_unweighted_world
1990,1.190976904726977
1991,1.1861682586239386
1992,1.1939177575683464
1993,1.2009397962912964
1994,1.218683666174327
1995,1.2136569566493438
1996,1.207946733346821
1997,1.2052790938534044
1998,1.2042658356315454
1999,1.204204521176829
2000,1.2117568131665646
2001,1.2082127953539643
2002,1.2061962231102672
2003,1.2107563167693245
2004,1.2144687733200492
2005,1.2133709938585868
2006,1.21606869331398
2007,1.2165124695576017
2008,1.2060096411674694
2009,1.1801967491385519
2010,1.1759765788934566
2011,1.1742362878000665
2012,1.164798099249794
2013,1.1609935495363963
2014,1.1561851464532202
2015,1.1506064870164996
2016,1.1471985262979738
2017,1.1477893912902173
2018,1.1480726392180634
2019,1.1450591295911703
2020,1.1282893648230654
2021,1.1473754592557166
2022,1.152457540116391
2023,1.1574780221701138
2024,1.1600301212362392
