year,economy_convergence_sigma_weighted_world
1990,1.222950705632509
1991,1.204682091875757
1992,1.1741380114015776
1993,1.1457420584581477
1994,1.125290624468433
1995,1.1048396384352421
1996,1.088537153102457
1997,1.083019067154489
1998,1.0722797708413465
1999,1.0615902442122642
2000,1.0637218125440995
2001,1.0511558639934282
2002,1.0422731034168897
2003,1.0315166488720862
2004,1.021557352419171
2005,1.0092269805260283
2006,0.999502774891635
2007,0.9898541992836805
2008,0.9812699628108709
2009,0.9507795852313697
2010,0.9440671716006026
2011,0.9395492184815887
2012,0.9319541378236071
2013,0.9231840461716171
2014,0.913581488805579
2015,0.9051516018156799
2016,0.8981780819246331
2017,0.896436326060794
2018,0.8941652116067935
2019,0.8955093190806256
2020,0.8998849617876781
2021,0.9119787118727852
2022,0.9107945931207354
2023,0.913654371943491
2024,0.9159384360207582
