year,climate_cumulative_co2_world
1750,9305937
1751,18713166
1752,28218334
1753,37828824
1754,47562404
1755,57355870
1756,67265784
1757,77359720
1758,87576080
1759,97914936
1760,108429260
1761,119177150
1762,130129340
1763,141320940
1764,152717920
1765,164361400
1766,176237490
1767,188390000
1768,200856930
1769,213637010
1770,226734220
1771,240103710
1772,253727220
1773,267535360
1774,281547780
1775,295886700
1776,310540800
1777,325500350
1778,340743840
1779,356279070
1780,372157800
1781,388392200
1782,404973120
1783,422035870
1784,439506980
1785,457472100
1786,475919600
1787,494778720
1788,514064960
1789,533928400
1790,554326460
1791,575258240
1792,597187460
1793,619484700
1794,642004350
1795,664319600
1796,686440960
1797,708531100
1798,731637000
1799,759122200
1800,791920500
1801,823906560
1802,864217100
1803,893755600
1804,925524740
1805,956776600
1806,989481200
1807,1025681860
1808,1061179650
1809,1097513500
1810,1137005700
1811,1177182500
1812,1217996900
1813,1259203100
1814,1301429800
1815,1345017000
1816,1390513500
1817,1439789400
1818,1491181600
1819,1542111600
1820,1592844800
1821,1644904100
1822,1698925800
1823,1755283600
1824,1812867200
1825,1873598100
1826,1934980200
1827,2000718700
1828,2067400600
1829,2133708000
1830,2222696400
1831,2305947400
1832,2388039200
1833,2471288000
1834,2560051200
1835,2657450800
1836,2764345300
1837,2870544600
1838,2976390000
1839,3086043000
1840,3204851500
1841,3327017000
1842,3456405800
1843,3588775200
1844,3730741800
1845,3885815000
1846,4043517000
1847,4214313700
1848,4387957000
1849,4573005300
1850,4769853000
1851,4968631300
1852,5176226300
1853,5393463300
1854,5648502000
1855,5908761600
1856,6187007500
1857,6468188000
1858,6753736700
1859,7056308700
1860,7388607500
1861,7737797600
1862,8093788700
1863,8473323500
1864,8882849000
1865,9317701000
1866,9766768000
1867,10247581000
1868,10742074000
1869,11266806000
1870,11802929000
1871,12372705000
1872,13003667000
1873,13674135000
1874,14302797000
1875,14983845000
1876,15674427000
1877,16378460000
1878,17088110000
1879,17847904000
1880,18706130000
1881,19594303000
1882,20532462000
1883,21530325000
1884,22540087000
1885,23557577000
1886,24590563000
1887,25674846000
1888,26876189000
1889,28078285000
1890,29385542000
1891,30755140000
1892,32135676000
1893,33498855000
1894,34911085000
1895,36407046000
1896,37952496000
1897,39570903000
1898,41277870000
1899,43142290000
1900,45105177000
1901,47130804000
1902,49207763000
1903,51472350000
1904,53762610000
1905,56203180000
1906,58752156000
1907,61657104000
1908,64447500000
1909,67354610000
1910,70404880000
1911,73502100000
1912,76756025000
1913,80280870000
1914,83478620000
1915,86626650000
1916,90026880000
1917,93583380000
1918,97089460000
1919,100130580000
1920,103677340000
1921,106792330000
1922,110057050000
1923,113760040000
1924,117476180000
1925,121216820000
1926,124894224000
1927,128907170000
1928,132903480000
1929,137191694000
1930,141149780000
1931,144689100000
1932,147881690000
1933,151244370000
1934,154900560000
1935,158736300000
1936,162944240000
1937,167440940000
1938,171670570000
1939,176140700000
1940,181025360000
1941,186024440000
1942,191006970000
1943,196082240000
1944,201244720000
1945,205534040000
1946,210142580000
1947,215307780000
1948,220755670000
1949,225959700000
1950,231890110000
1951,238271760000
1952,244739460000
1953,251390500000
1954,258180240000
1955,265624340000
1956,273550600000
1957,281736580000
1958,290154100000
1959,299009200000
1960,308396160000
1961,317811160000
1962,327558400000
1963,337825170000
1964,348649650000
1965,359960250000
1966,371822900000
1967,384060230000
1968,396965500000
1969,410727320000
1970,425626470000
1971,441130320000
1972,457354900000
1973,474432180000
1974,491430100000
1975,508418560000
1976,526281050000
1977,544639100000
1978,563663860000
1979,583172400000
1980,602582200000
1981,621461960000
1982,640191700000
1983,659093500000
1984,678550770000
1985,698695600000
1986,719133700000
1987,740239900000
1988,762158600000
1989,784358830000
1990,807091000000
1991,830296560000
1992,852816950000
1993,875566860000
1994,898541400000
1995,922058100000
1996,946291540000
1997,970671900000
1998,994967600000
1999,1019805400000
2000,1045316800000
2001,1071009800000
2002,1097275150000
2003,1124927900000
2004,1153537900000
2005,1183136900000
2006,1213731000000
2007,1245230300000
2008,1277279900000
2009,1308793000000
2010,1342110600000
2011,1376590600000
2012,1411545300000
2013,1446821100000
2014,1482286800000
2015,1517690400000
2016,1553083100000
2017,1589057800000
2018,1625791800000
2019,1662878400000
2020,1698036600000
2021,1734903500000
2022,1772431200000
2023,1810525300000
2024,1849123900000
