year,demography_deaths_proj_world
2024,62389496
2025,63135984
2026,63637310
2027,64625684
2028,65677932
2029,66739330
2030,67826880
2031,68954190
2032,70103040
2033,71288510
2034,72486090
2035,73713700
2036,74948340
2037,76206090
2038,77449624
2039,78710136
2040,79950500
2041,81208610
2042,82442510
2043,83672376
2044,84890470
2045,86093330
2046,87281950
2047,88448280
2048,89606970
2049,90746290
2050,91876620
2051,92985500
2052,94083770
2053,95173330
2054,96249260
2055,97293120
2056,98309320
2057,99309970
2058,100282940
2059,101241940
2060,102156930
2061,103025270
2062,103869600
2063,104677860
2064,105484570
2065,106272780
2066,107031790
2067,107798930
2068,108554380
2069,109292500
2070,110034870
2071,110769660
2072,111528940
2073,112257940
2074,112984184
2075,113706800
2076,114416770
2077,115099190
2078,115749020
2079,116356650
2080,116924260
2081,117418480
2082,117862430
2083,118269520
2084,118618880
2085,118940920
2086,119206460
2087,119458180
2088,119684140
2089,119919840
2090,120136080
2091,120358536
2092,120604024
2093,120878410
2094,121154320
2095,121464650
2096,121753740
2097,122077250
2098,122379910
2099,122663590
2100,122922340
