year,education_govt_expenditure_ecs
1993,4.95048999786377
1994,4.76287984848022
1995,4.5927300453186
1996,4.48169016838074
1998,4.44445991516113
1999,4.4996600151062
2000,4.16786003112793
2001,4.57992005348206
2002,4.44545984268188
2003,4.8012900352478
2004,4.80561494827271
2005,4.87698984146118
2006,4.90769004821777
2007,4.71541976928711
2008,4.90972995758057
2009,5.06263017654419
2010,5.14355993270874
2011,4.85663986206055
2012,4.80692505836487
2013,4.99779987335205
2014,4.82582998275757
2015,4.78751993179321
2016,4.82350015640259
2017,4.64034986495972
2018,4.64193511009216
2019,4.60705995559693
2020,4.85690999031067
2021,4.7092399597168
2022,4.56857490539551
