year,education_govt_expenditure_lcn
1995,2.98509001731872
1998,3.27817988395691
1999,3.75450503826141
2000,3.75707006454468
2001,3.84467005729675
2002,3.88385510444642
2003,3.53504991531372
2004,3.73531496524811
2006,3.91671991348267
2007,4.08301019668579
2008,4.60607004165649
2009,5.46355009078979
2010,4.60028982162476
2011,4.14937019348145
2012,4.76829504966736
2013,4.87855005264282
2014,4.69057488441467
2015,4.44749157539063
2016,4.41408840162469
2017,4.40769505500793
2018,4.46145347505506
2019,4.51068019866943
2020,4.53493916058743
2021,4.08717467298944
2022,3.86129930773508
2023,3.81964993476868
