year,education_govt_expenditure_mea
1975,3.84899497032166
1976,4.78996992111206
1977,4.33670496940613
1980,4.57553005218506
1981,5.16767978668213
1982,5.44717502593994
1983,5.22148990631104
1984,5.51744985580444
1986,5.33007001876831
1989,4.03414011001587
1996,4.18530988693237
2004,5.02110004425049
2006,4.14588499069214
2008,4.22755002975464
2010,3.70917010307312
2012,3.57230008734587
2013,3.78372228032099
2015,3.71272133351629
2016,4.23311007022857
2017,4.03832006454468
2018,3.75143003463745
2019,3.86019992828369
2020,3.98417997360229
2022,4.38311004638672
