year,education_govt_expenditure_sas
1979,1.8491849899292
1980,1.82088500261307
1981,1.75685495138169
1982,1.78507000207901
1983,1.71164000034332
1984,1.69414502382278
1985,1.92365998029709
1986,2.07445496320724
1987,2.07898503541946
1990,1.96502494812012
1991,2.17062002420426
1997,2.65692502260208
1998,3.05140995979309
1999,2.89331007003784
2000,2.9751501083374
2001,2.94015502929688
2002,2.58498990535736
2003,3.11435008049011
2004,3.1719400882721
2005,3.27670001983642
2006,3.14284992218018
2007,2.8597149848938
2008,2.9298700094223
2009,2.66707503795624
2010,3.377690076828
2011,2.96443998813629
2012,2.7364399433136
2013,2.49213999509811
2014,2.78542835232231
2015,2.6844950914383
2016,3.5662499666214
2017,3.44930493831635
2018,3.22926235819159
2019,3.89212886881753
2020,3.1916501133819
2021,3.29945958568872
2022,3.09202235990416
2023,2.16213826344701
2024,2.86143825839217
