year,education_govt_expenditure_ssf
1999,2.96396994590759
2000,2.64609491825104
2001,2.707200050354
2002,2.81047010421753
2004,2.91176009178162
2005,2.91943001747131
2006,2.92044496536255
2008,2.77728009223938
2009,3.1165601015091
2010,3.07808995246887
2011,3.07762002944946
2012,3.28166997432708
2013,3.56775999069214
2014,3.32569003105164
2015,3.57062995433808
2016,3.28257989883423
2017,3.53460991382599
2018,3.38626492023468
2019,3.24716413970868
2020,3.40395039640257
2021,3.31281536274069
2022,3.0972642678305
2023,3.25853222146531
