year,education_govt_expenditure_world
1999,4.03683495521545
2000,3.78288507461548
2001,3.90370011329651
2002,3.86491990089417
2003,4.05078494548797
2004,3.94351994991302
2005,4.02098989486694
2006,3.99198496341705
2007,4.04881000518799
2008,4.22755002975464
2009,4.65950012207031
2010,4.18953990936279
2011,4.06764507293701
2012,4.03481006622315
2013,4.34479999542236
2014,4.20045018196106
2015,4.21141505241394
2016,4.15415000915528
2017,4.09265494346619
2018,4.18293023109436
2019,4.15775012969971
2020,4.34224486351013
2021,4.19910710491722
2022,3.86129930773508
2023,3.56927475138052
