year,work_employment_ratio_world
1991,62.04947463098
1992,61.8196769483906
1993,61.4041344398681
1994,61.1911654079838
1995,61.0002983476783
1996,60.8424691376247
1997,60.7694477064303
1998,60.5717240381532
1999,60.5146523821243
2000,60.4976181704102
2001,60.2573855671838
2002,59.9474058477377
2003,59.7771306993963
2004,59.7972885123336
2005,59.7849172890591
2006,59.7374471608125
2007,59.706916633285
2008,59.4346003926857
2009,58.8120104418314
2010,58.6253070933278
2011,58.5514967833512
2012,58.3291221199425
2013,58.1981142629847
2014,58.0901026175178
2015,57.9430007283992
2016,57.813416001753
2017,57.6829050691244
2018,57.6409208006304
2019,57.6186342394537
2020,55.7156262826493
2021,56.7337772690142
2022,57.5571682678084
2023,58.2307712154389
2024,58.1945428711446
