year,trade_fdi_inflows_world
1970,0.49935747999088
1971,0.47160908122335
1972,0.427703679123939
1973,0.475882518377907
1974,0.4927354121781
1975,0.474756415414076
1976,0.345681003166903
1977,0.402123572862544
1978,0.419985788667919
1979,0.443519896465599
1980,0.500096814682899
1981,0.628197867137675
1982,0.591156295289589
1983,0.468972388754168
1984,0.503143196974452
1985,0.360920044771483
1986,0.562473911950108
1987,0.840663502778287
1988,0.895163501078323
1989,1.02982203409586
1990,1.08933150514875
1991,0.760381595839734
1992,0.735267346783473
1993,0.90062616632266
1994,0.998139375916319
1995,1.16666073530644
1996,1.30659528113146
1997,1.6649422377285
1998,2.47824217578233
1999,3.65050935184952
2000,4.60054634879253
2001,2.65513203086615
2002,2.13587760471071
2003,1.85825915207826
2004,2.22122545587228
2005,3.25827431954096
2006,4.22386145705618
2007,5.27711961807479
2008,3.72354373179278
2009,2.42727008900625
2010,2.70554368320855
2011,3.15832912822297
2012,2.65497421440789
2013,2.65184947569052
2014,2.41581124855202
2015,3.62167700808841
2016,3.53345706054221
2017,2.72530213852118
2018,1.23709166637342
2019,2.16244261600792
2020,1.34331731043375
2021,2.53659303797299
2022,1.86511043214883
2023,0.862233908070818
2024,1.32595274334775
