year,demography_fertility_rate_italy
1950,2.523
1951,2.376
1952,2.323
1953,2.285
1954,2.349
1955,2.343
1956,2.351
1957,2.348
1958,2.326
1959,2.387
1960,2.384
1961,2.42
1962,2.451
1963,2.52
1964,2.662
1965,2.617
1966,2.588
1967,2.509
1968,2.49
1969,2.47
1970,2.396
1971,2.398
1972,2.351
1973,2.315
1974,2.292
1975,2.177
1976,2.056
1977,1.939
1978,1.841
1979,1.733
1980,1.647
1981,1.582
1982,1.561
1983,1.506
1984,1.458
1985,1.416
1986,1.351
1987,1.33
1988,1.355
1989,1.328
1990,1.331
1991,1.303
1992,1.296
1993,1.249
1994,1.208
1995,1.188
1996,1.197
1997,1.21
1998,1.21
1999,1.228
2000,1.249
2001,1.247
2002,1.264
2003,1.285
2004,1.337
2005,1.332
2006,1.364
2007,1.393
2008,1.435
2009,1.439
2010,1.443
2011,1.427
2012,1.416
2013,1.38
2014,1.364
2015,1.344
2016,1.336
2017,1.317
2018,1.286
2019,1.259
2020,1.242
2021,1.252
2022,1.24
2023,1.198
