year,demography_fertility_rate_japan
1950,3.615
1951,3.225
1952,2.947
1953,2.673
1954,2.468
1955,2.349
1956,2.206
1957,2.036
1958,2.097
1959,2.035
1960,1.981
1961,1.928
1962,1.928
1963,1.951
1964,1.998
1965,2.089
1966,1.632
1967,2.158
1968,2.065
1969,2.026
1970,2.035
1971,2.089
1972,2.114
1973,2.145
1974,2.065
1975,1.921
1976,1.841
1977,1.789
1978,1.786
1979,1.769
1980,1.739
1981,1.718
1982,1.738
1983,1.77
1984,1.78
1985,1.736
1986,1.698
1987,1.666
1988,1.625
1989,1.547
1990,1.509
1991,1.504
1992,1.478
1993,1.44
1994,1.468
1995,1.407
1996,1.403
1997,1.376
1998,1.371
1999,1.34
2000,1.346
2001,1.325
2002,1.308
2003,1.285
2004,1.277
2005,1.245
2006,1.285
2007,1.305
2008,1.33
2009,1.333
2010,1.357
2011,1.363
2012,1.376
2013,1.389
2014,1.388
2015,1.415
2016,1.408
2017,1.39
2018,1.373
2019,1.323
2020,1.304
2021,1.275
2022,1.256
2023,1.208
