year,demography_fertility_rate_ecs
1960,2.83848368529264
1961,2.83207926574286
1962,2.81083794946942
1963,2.80931620543912
1964,2.80041411849247
1965,2.74843557312999
1966,2.72189747284275
1967,2.72667143391915
1968,2.67004911946736
1969,2.61310963153685
1970,2.56598360836375
1971,2.55153281110075
1972,2.49136129914704
1973,2.4228570664676
1974,2.40865360780193
1975,2.35401265642158
1976,2.31747440331331
1977,2.2612638822947
1978,2.22357674262737
1979,2.20084675190752
1980,2.17563068727892
1981,2.13963702625444
1982,2.14518035515243
1983,2.13891784249318
1984,2.11676482346068
1985,2.10368714048109
1986,2.11613561756349
1987,2.10610489651948
1988,2.07558849076164
1989,2.01533087387208
1990,1.96637283130662
1991,1.90056211567784
1992,1.82774490283179
1993,1.75427002287587
1994,1.71174940609854
1995,1.66266037155812
1996,1.62662735662408
1997,1.60334909446128
1998,1.58833655561538
1999,1.55741598336316
2000,1.55972097669511
2001,1.54277622977566
2002,1.5461514958065
2003,1.56349486047452
2004,1.59242846488562
2005,1.58832212836368
2006,1.6183726917497
2007,1.66017814115426
2008,1.71661872769343
2009,1.71823082724026
2010,1.72570974893055
2011,1.70951867281743
2012,1.7442372502909
2013,1.73604913772659
2014,1.77206215359454
2015,1.77310288625611
2016,1.7792609974838
2017,1.73655532157668
2018,1.71630107428934
2019,1.6881874137571
2020,1.67075022690535
2021,1.68384115389315
2022,1.6169799650563
2023,1.57800238395194
2024,1.55339827274172
