year,demography_fertility_rate_ssf
1960,6.57174874874602
1961,6.58571398311179
1962,6.60390930868935
1963,6.61960965556542
1964,6.63602996990183
1965,6.65039060678055
1966,6.67747406918418
1967,6.69402505143609
1968,6.70872505215244
1969,6.72015908290551
1970,6.73541739546683
1971,6.75655085663632
1972,6.77134978321694
1973,6.78278731001734
1974,6.79682908474587
1975,6.80640025527161
1976,6.80547471772746
1977,6.80735278799907
1978,6.80824039992135
1979,6.79262824170563
1980,6.77334291063111
1981,6.74806521480249
1982,6.72084449307767
1983,6.68550941917656
1984,6.63803033257262
1985,6.58693042338572
1986,6.53893585177467
1987,6.49032888380235
1988,6.43404675534336
1989,6.37341178365561
1990,6.30104260452072
1991,6.24298590029732
1992,6.18200423256042
1993,6.12528221287714
1994,6.06470370170408
1995,6.00466237622074
1996,5.93565282883703
1997,5.86627525175887
1998,5.81442921705188
1999,5.777020723672
2000,5.73773810885063
2001,5.69618769614865
2002,5.6515213882065
2003,5.6132102185413
2004,5.58654898289683
2005,5.55866860704533
2006,5.52178414856439
2007,5.4761027827376
2008,5.44570307459479
2009,5.38584215151543
2010,5.3248363997349
2011,5.25454090539525
2012,5.17791241373674
2013,5.09694854307991
2014,5.02360835765816
2015,4.9430995027403
2016,4.85964850399825
2017,4.78024877820714
2018,4.69665859837338
2019,4.61329843358858
2020,4.52970052653458
2021,4.46442846659945
2022,4.39654764018584
2023,4.33247825359511
2024,4.26410404156604
