year,demography_fertility_rate_world
1950,4.852
1951,4.816
1952,5.001
1953,4.922
1954,4.998
1955,5.003
1956,4.931
1957,5.068
1958,4.932
1959,4.74
1960,4.696
1961,4.571
1962,5.022
1963,5.308
1964,5.123
1965,5.071
1966,4.961
1967,4.852
1968,4.963
1969,4.866
1970,4.825
1971,4.679
1972,4.545
1973,4.416
1974,4.259
1975,4.08
1976,3.974
1977,3.85
1978,3.787
1979,3.771
1980,3.744
1981,3.711
1982,3.712
1983,3.581
1984,3.553
1985,3.515
1986,3.504
1987,3.476
1988,3.39
1989,3.347
1990,3.31
1991,3.131
1992,3.044
1993,2.98
1994,2.933
1995,2.889
1996,2.846
1997,2.809
1998,2.776
1999,2.75
2000,2.754
2001,2.714
2002,2.684
2003,2.659
2004,2.647
2005,2.63
2006,2.625
2007,2.623
2008,2.626
2009,2.621
2010,2.602
2011,2.588
2012,2.607
2013,2.572
2014,2.564
2015,2.537
2016,2.536
2017,2.504
2018,2.437
2019,2.397
2020,2.322
2021,2.291
2022,2.265
2023,2.251
