year,demography_fertility_rate_south_korea
1950,6.063
1951,6.089
1952,6.122
1953,6.171
1954,6.174
1955,6.169
1956,6.175
1957,6.178
1958,6.152
1959,6.096
1960,5.994
1961,5.803
1962,5.562
1963,5.334
1964,5.068
1965,4.887
1966,4.782
1967,4.615
1968,4.51
1969,4.447
1970,4.459
1971,4.259
1972,4.02
1973,3.803
1974,3.555
1975,3.313
1976,3.119
1977,2.954
1978,2.699
1979,2.748
1980,2.734
1981,2.669
1982,2.431
1983,2.102
1984,1.832
1985,1.705
1986,1.623
1987,1.571
1988,1.558
1989,1.564
1990,1.603
1991,1.702
1992,1.738
1993,1.683
1994,1.67
1995,1.646
1996,1.599
1997,1.555
1998,1.497
1999,1.469
2000,1.467
2001,1.342
2002,1.227
2003,1.199
2004,1.164
2005,1.115
2006,1.145
2007,1.215
2008,1.19
2009,1.178
2010,1.226
2011,1.258
2012,1.274
2013,1.206
2014,1.197
2015,1.202
2016,1.14
2017,1.035
2018,0.951
2019,0.881
2020,0.812
2021,0.783
2022,0.78
2023,0.72
