year,nature_forest_area_world
1990,4343532500
1991,4332838000
1992,4322142700
1993,4311448000
1994,4300753400
1995,4290058800
1996,4279364000
1997,4268669200
1998,4257974500
1999,4247279900
2000,4236585200
2001,4233026600
2002,4229468000
2003,4225909200
2004,4222350600
2005,4218792200
2006,4215233500
2007,4211675000
2008,4208116200
2009,4204557600
2010,4200999200
2011,4197086000
2012,4193172700
2013,4189259500
2014,4185346300
2015,4181433000
2016,4178194200
2017,4174955500
2018,4171716600
2019,4168478000
2020,4165239300
2021,4160234200
2022,4155229200
2023,4150224400
2024,4145219300
2025,4140214500
