year,nature_forest_pct_ecs
1992,37.7350989617448
1993,37.7649347908694
1994,37.8035447405226
1995,37.8396195252102
1996,37.8720094483104
1997,37.8076383150686
1998,37.8360746610214
1999,37.8584879333955
2000,37.8662429161615
2001,37.9146199900179
2002,37.9619082319171
2003,38.0075168689196
2004,38.053853073694
2005,38.1002771222337
2006,38.1346509425223
2007,38.1826763936773
2008,38.2325126466285
2009,38.2790818393716
2010,38.3251622387504
2011,38.3463558007826
2012,38.3671204828235
2013,38.3862779200651
2014,38.4078003066143
2015,38.4227676321406
2016,38.4443525858317
2017,38.4689780914735
2018,38.4847788293025
2019,38.5016931649387
2020,38.5243300531653
2021,38.5409994875957
2022,38.5583485988133
