year,nature_forest_pct_sas
1990,22.7610498278802
1991,22.8706155639906
1992,22.980181300101
1993,23.0897470362115
1994,23.247267591672
1995,23.3570598088482
1996,23.4668520558825
1997,23.5766442730587
1998,23.6864364902349
1999,23.7962287074111
2000,23.9035229226874
2001,23.9659430306432
2002,24.028363138599
2003,24.0907832465547
2004,24.1653454753024
2005,24.2277969626359
2006,24.2902484499693
2007,24.3526999373028
2008,24.4151514246363
2009,24.4776028820997
2010,24.5400543694332
2011,24.6214291794971
2012,24.702803989561
2013,24.784178799625
2014,24.8655536096889
2015,24.9530179084678
2016,25.0320566158766
2017,25.1112966145979
2018,25.1907849802839
2019,25.2700222117653
2020,25.3492968350856
2021,25.4285377097768
2022,25.5077785844679
