year,nature_forest_pct_ssf
1990,33.9034420930557
1991,33.7533804482743
1992,33.6033188034929
1993,32.6693180969175
1994,32.5234491093356
1995,32.3775801217538
1996,32.231711134172
1997,32.0858421465901
1998,31.9399731590083
1999,31.7941041714264
2000,31.6482351838446
2001,31.4937298221195
2002,31.3392244603943
2003,31.1847190986692
2004,30.8146703476643
2005,30.6611734248676
2006,30.507752879415
2007,30.3542549230811
2008,30.2008770643511
2009,30.0473997526092
2010,29.8930068151004
2011,29.7178013036573
2012,27.57710915546
2013,27.4132997633855
2014,27.2495001757993
2015,27.0855859117164
2016,26.91752301122
2017,26.7529231075334
2018,26.5884254981686
2019,26.41966461613
2020,26.252615602291
2021,26.0844102587115
2022,25.9169457949267
