year,economy_gdp_per_capita_ppp_eas
1990,5756.09344699711
1991,5988.03278719779
1992,6222.93396284576
1993,6469.88397735049
1994,6784.15304878752
1995,7136.05415769238
1996,7492.92134413201
1997,7741.43473755904
1998,7650.91686695375
1999,7893.59333459964
2000,8279.29834036297
2001,8512.43027986592
2002,8870.33750153079
2003,9295.63908217882
2004,9822.02938797795
2005,10389.5348605951
2006,11051.69155641
2007,11869.0038166633
2008,12377.8566019042
2009,12714.2237120724
2010,13649.8185307789
2011,14359.678331653
2012,15050.3477434872
2013,15769.1578101278
2014,16465.1829478381
2015,17172.6129371519
2016,17906.8923162744
2017,18741.9275790888
2018,19592.7875603847
2019,20360.1789601769
2020,20267.2549941632
2021,21508.4957629882
2022,22175.197366634
2023,23098.9334393628
2024,24015.9380810406
