year,economy_gdp_per_capita_ppp_ecs
1990,28222.4508334165
1991,27734.7400086256
1992,26826.2902880589
1993,26191.4875336062
1994,25879.4314611523
1995,26218.5559427895
1996,26515.5730621342
1997,27222.134881881
1998,27710.9347491682
1999,28487.7710157393
2000,29836.8990375785
2001,30559.8614828664
2002,31142.5776814577
2003,31861.0311301208
2004,33030.9705248943
2005,34028.6620981221
2006,35505.0580432014
2007,36985.7650630137
2008,37463.8814972092
2009,35515.9205157934
2010,36408.7097554106
2011,37348.5831797734
2012,37472.3572532191
2013,37739.5844741677
2014,38215.4941201189
2015,38658.8920830402
2016,39180.4967897882
2017,40232.2658442438
2018,41055.44504333
2019,41747.7228403984
2020,39677.3321744647
2021,42315.3860874903
2022,43405.8010013308
2023,44089.5069128639
2024,44818.539437368
